record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,EPDE,RW12,08202,1150,N51332471,E021523578,,00390,0000,50,197,,,S,Simulation application continuation,,,,14991,2204,SEEUP EPDEEPGRW12    1082021150 N51332471E021523578               00390000050197      0000                                 ,SEEUP EPDEEPGRW12    2S                            12100Y        L00390                                                    
S,EEU,P,G,EPDE,RW30,08202,2950,N51324354,E021542680,,00391,0000,53,197,IDN,,S,Simulation application continuation,,,,14993,2204,SEEUP EPDEEPGRW30    1082022950 N51324354E021542680               00391000053197 IDN  0000                                 ,SEEUP EPDEEPGRW30    2S                            30100Y        L00391                                                    
S,EEU,P,G,EPGD,RW11,09186,1060,N54225184,E018270738,,00451,0000,50,148,,,S,Simulation application continuation,,,,15273,2510,SEEUP EPGDEPGRW11    1091861060 N54225184E018270738         +0167100451000050148      0000                                 ,SEEUP EPGDEPGRW11    2S                            11300Y        T00451                                                    
S,EEU,P,G,EPGD,RW29,09186,2860,N54221656,E018293018,,00488,0000,53,148,IGDA,,S,Simulation application continuation,,,,15275,2510,SEEUP EPGDEPGRW29    1091862860 N54221656E018293018         +0178400488000053148 IGDA 0000                                 ,SEEUP EPGDEPGRW29    2S                            29300Y        L00488                                                    
S,EEU,P,G,EPGL,RW08R,02953,0820,N50160200,E018395900,,00850,0000,40,075,,,S,Simulation application continuation,,,,15301,2409,SEEUP EPGLEPGRW08R   1029530820 N50160200E018395900               00850000040075      0000                                 ,SEEUP EPGLEPGRW08R   2S                            08700Y        L00850                                                    
S,EEU,P,G,EPGL,RW26L,02953,2620,N50160300,E018403900,,00836,0328,40,075,,,S,Simulation application continuation,,,,15303,2409,SEEUP EPGLEPGRW26L   1029532620 N50160300E018403900               00836032840075      0000                                 ,SEEUP EPGLEPGRW26L   2S                            26700Y        L00836                                                    
S,EEU,P,G,EPGY,RW09,02638,0900,N52501424,E021461809,,00407,0000,50,079,,,S,Simulation application continuation,,,,15309,1513,SEEUP EPGYEPGRW09    1026380900 N52501424E021461809               00407000050079      0000                                 ,SEEUP EPGYEPGRW09    2S                            09500Y        A00407                                                    
S,EEU,P,G,EPGY,RW27,02638,2700,N52501197,E021470088,,00407,0000,50,079,,,S,Simulation application continuation,,,,15311,1513,SEEUP EPGYEPGRW27    1026382700 N52501197E021470088               00407000050079      0000                                 ,SEEUP EPGYEPGRW27    2S                            27500Y        A00407                                                    
S,EEU,P,G,EPIR,RW05,06562,0460,N52492262,E018190687,,00274,0000,50,197,,,S,Simulation application continuation,,,,15366,2206,SEEUP EPIREPGRW05    1065620460 N52492262E018190687               00274000050197      0000                                 ,SEEUP EPIREPGRW05    2S                            05200Y        L00274                                                    
S,EEU,P,G,EPIR,RW23,06562,2260,N52500233,E018203122,,00265,0000,50,197,,,S,Simulation application continuation,,,,15368,2206,SEEUP EPIREPGRW23    1065622260 N52500233E018203122               00265000050197      0000                                 ,SEEUP EPIREPGRW23    2S                            23200Y        L00265                                                    
