record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,EPKS,EP,,IKS,EP,11190,IT N,,,IKS,N52194490,E016584450,,00274,0,,231,WGE,KRZESINY,S,Simulation application continuation,UN,E0060,00274,73065,2105,SEEUD EPKSEP IKS   EP111190 IT N                   IKS N52194490E016584450     002740  231WGEKRZESINY                      ,SEEUD EPKSEP IKS   EP2S    UN                                             E006000274                                       
S,EEU,D,,EPKT,EP,,IKTO,EP,10990,IT N,,,IKTO,N50283740,E019054280,,01000,0,,123,WGE,PYRZOWICE,S,Simulation application continuation,UU,E0062,01000,73067,2406,SEEUD EPKTEP IKTO  EP110990 IT N                   IKTON50283740E019054280     010000  123WGEPYRZOWICE                     ,SEEUD EPKTEP IKTO  EP2S    UU                                             E006201000                                       
S,EEU,D,,EPLB,EP,,ISWI,EP,11195,IT N,,,ISWI,N51143530,E022433430,,00700,0,,,WGE,LUBLIN,S,Simulation application continuation,UN,E0071,00700,73069,2406,SEEUD EPLBEP ISWI  EP111195 IT N                   ISWIN51143530E022433430     007000     WGELUBLIN                        ,SEEUD EPLBEP ISWI  EP2S    UN                                             E007100700                                       
S,EEU,D,,EPLK,EP,,IAS,EP,11090,IT N,,,IAS,N51324840,E019115300,,00631,0,,158,WGE,LASK,S,Simulation application continuation,UU,E0064,00631,73071,1911,SEEUD EPLKEP IAS   EP111090 IT N                   IAS N51324840E019115300     006310  158WGELASK                          ,SEEUD EPLKEP IAS   EP2S    UU                                             E006400631                                       
S,EEU,D,,EPLL,EP,,LOD,EP,11050,IT N,,,LOD,N51432480,E019240170,,00600,0,,139,WGE,LODZ,S,Simulation application continuation,UU,E0064,00600,73073,2406,SEEUD EPLLEP LOD   EP111050 IT N                   LOD N51432480E019240170     006000  139WGELODZ                          ,SEEUD EPLLEP LOD   EP2S    UU                                             E006400600                                       
S,EEU,D,,EPMB,EP,,IMB,EP,11050,IT N,,,IMB,N54013720,E019085910,,00018,0,,139,WGE,MALBORK,S,Simulation application continuation,UN,E0068,00018,73075,2401,SEEUD EPMBEP IMB   EP111050 IT N                   IMB N54013720E019085910     000180  139WGEMALBORK                       ,SEEUD EPMBEP IMB   EP2S    UN                                             E006800018                                       
S,EEU,D,,EPMI,EP,,IMI,EP,11090,IT N,,,IMI,N53232250,E016053300,,00600,0,,158,WGE,MIROSLAWIEC,S,Simulation application continuation,UU,E0059,00600,73077,2406,SEEUD EPMIEP IMI   EP111090 IT N                   IMI N53232250E016053300     006000  158WGEMIROSLAWIEC                   ,SEEUD EPMIEP IMI   EP2S    UU                                             E005900600                                       
S,EEU,D,,EPMM,EP,,IMM,EP,11130,IT N,,,IMM,N52113970,E021400800,,00600,0,,193,WGE,MINSK MAZOWIECKI,S,Simulation application continuation,UU,E0071,00600,73079,2406,SEEUD EPMMEP IMM   EP111130 IT N                   IMM N52113970E021400800     006000  193WGEMINSK MAZOWIECKI              ,SEEUD EPMMEP IMM   EP2S    UU                                             E007100600                                       
S,EEU,D,,EPMO,EP,,IMDX,EP,10830,IT N,,,IMDX,N52265580,E020382010,,00300,0,,229,WGE,MODLIN,S,Simulation application continuation,UU,E0069,00300,73081,2406,SEEUD EPMOEP IMDX  EP110830 IT N                   IMDXN52265580E020382010     003000  229WGEMODLIN                        ,SEEUD EPMOEP IMDX  EP2S    UU                                             E006900300                                       
S,EEU,D,,EPOK,EP,,IOW,EP,10950,IT N,,,IOW,N54342190,E018313310,,00100,0,,075,WGE,OKSYWIE,S,Simulation application continuation,UN,E0067,00100,73083,2406,SEEUD EPOKEP IOW   EP110950 IT N                   IOW N54342190E018313310     001000  075WGEOKSYWIE                       ,SEEUD EPOKEP IOW   EP2S    UN                                             E006700100                                       
S,EEU,D,,EPPO,EP,,POZ,EP,11030,IT N,,,POZ,N52251230,E016501520,,00300,0,,079,WGE,LAWICA,S,Simulation application continuation,UN,E0059,00300,73085,2412,SEEUD EPPOEP POZ   EP111030 IT N                   POZ N52251230E016501520     003000  079WGELAWICA                        ,SEEUD EPPOEP POZ   EP2S    UN                                             E005900300                                       
S,EEU,D,,EPPW,EP,,IPDZ,EP,10815,IT N,,,IPDZ,N52230220,E017495760,,00400,0,,191,WGE,POWIDZ,S,Simulation application continuation,UN,E0062,00400,73087,2406,SEEUD EPPWEP IPDZ  EP110815 IT N                   IPDZN52230220E017495760     004000  191WGEPOWIDZ                        ,SEEUD EPPWEP IPDZ  EP2S    UN                                             E006200400                                       
S,EEU,D,,EPPW,EP,,IPW,EP,11110,IT N,,,IPW,N52223450,E017522220,,00400,0,,268,WGE,POWIDZ,S,Simulation application continuation,UN,E0062,00400,73089,2406,SEEUD EPPWEP IPW   EP111110 IT N                   IPW N52223450E017522220     004000  268WGEPOWIDZ                        ,SEEUD EPPWEP IPW   EP2S    UN                                             E006200400                                       
S,EEU,D,,EPRA,EP,,IRDM,EP,11035,IT N,,,IRDM,N51232620,E021134420,,00600,0,,282,WGE,RADOM,S,Simulation application continuation,UN,E0068,00600,73091,2406,SEEUD EPRAEP IRDM  EP111035 IT N                   IRDMN51232620E021134420     006000  282WGERADOM                         ,SEEUD EPRAEP IRDM  EP2S    UN                                             E006800600                                       
S,EEU,D,,EPRZ,EP,,RZW,EP,11030,IT N,,,RZW,N50063090,E022022890,,00700,0,,077,WGE,JASIONKA,S,Simulation application continuation,UU,E0067,00700,73093,2406,SEEUD EPRZEP RZW   EP111030 IT N                   RZW N50063090E022022890     007000  077WGEJASIONKA                      ,SEEUD EPRZEP RZW   EP2S    UU                                             E006700700                                       
S,EEU,D,,EPSC,EP,,SZC,EP,11050,IT N,,,SZC,N53344190,E014544180,,00200,0,,145,WGE,GOLENIOW,S,Simulation application continuation,UN,E0056,00200,73095,2406,SEEUD EPSCEP SZC   EP111050 IT N                   SZC N53344190E014544180     002000  145WGEGOLENIOW                      ,SEEUD EPSCEP SZC   EP2S    UN                                             E005600200                                       
S,EEU,D,,EPSN,EP,,ISN,EP,11155,IT N,,,ISN,N53471940,E015502360,,00400,0,,241,WGE,SWIDWIN,S,Simulation application continuation,UN,E0059,00400,73097,2406,SEEUD EPSNEP ISN   EP111155 IT N                   ISN N53471940E015502360     004000  241WGESWIDWIN                       ,SEEUD EPSNEP ISN   EP2S    UN                                             E005900400                                       
S,EEU,D,,EPSY,EP,,SZY,EP,10810,IT N,,,SZY,N53282770,E020555370,,00500,0,,231,WGE,OLSZTYN-MAZURY,S,Simulation application continuation,UN,E0072,00500,73099,2406,SEEUD EPSYEP SZY   EP110810 IT N                   SZY N53282770E020555370     005000  231WGEOLSZTYN-MAZURY                ,SEEUD EPSYEP SZY   EP2S    UN                                             E007200500                                       
S,EEU,D,,EPWA,EP,,WA,EP,11030,IT N,,,WA,N52092440,E020582270,,00400,0,,129,WGE,CHOPIN,S,Simulation application continuation,UN,E0069,00400,73101,2406,SEEUD EPWAEP WA    EP111030 IT N                   WA  N52092440E020582270     004000  129WGECHOPIN                        ,SEEUD EPWAEP WA    EP2S    UN                                             E006900400                                       
S,EEU,D,,EPWA,EP,,WAS,EP,10990,IT N,,,WAS,N52101620,E020570590,,00400,0,,123,WGE,CHOPIN,S,Simulation application continuation,UN,E0069,00400,73103,2406,SEEUD EPWAEP WAS   EP110990 IT N                   WAS N52101620E020570590     004000  123WGECHOPIN                        ,SEEUD EPWAEP WAS   EP2S    UN                                             E006900400                                       
S,EEU,D,,EPWR,EP,,WRO,EP,11030,IT N,,,WRO,N51055620,E016533510,,00400,0,,079,WGE,STRACHOWICE,S,Simulation application continuation,UN,E0058,00400,73105,2406,SEEUD EPWREP WRO   EP111030 IT N                   WRO N51055620E016533510     004000  079WGESTRACHOWICE                   ,SEEUD EPWREP WRO   EP2S    UN                                             E005800400                                       
S,EEU,D,,EPZG,EP,,IZGA,EP,11130,IT N,,,IZGA,N52082800,E015484230,,00200,0,,154,WGE,BABIMOST,S,Simulation application continuation,UU,E0056,00200,73107,2406,SEEUD EPZGEP IZGA  EP111130 IT N                   IZGAN52082800E015484230     002000  154WGEBABIMOST                      ,SEEUD EPZGEP IZGA  EP2S    UU                                             E005600200                                       
S,EEU,D,,EVGA,EV,,LDE,EV,11150,IT N,,,LDE,N56471450,E024511380,,00200,0,,212,WGE,LIELVARDE,S,Simulation application continuation,UU,E0091,00200,73109,2109,SEEUD EVGAEV LDE   EV111150 IT N                   LDE N56471450E024511380     002000  212WGELIELVARDE                     ,SEEUD EVGAEV LDE   EV2S    UU                                             E009100200                                       
S,EEU,D,,EVLA,EV,,LPJ,EV,10855,ITDN,,,LPJ,N56311420,E021062450,,00100,0,02,264,WGE,LIEPAJA,S,Simulation application continuation,UN,E0079,00100,73111,2311,SEEUD EVLAEV LPJ   EV110855 ITDN                   LPJ N56311420E021062450     00100002264WGELIEPAJA                       ,SEEUD EVLAEV LPJ   EV2S    UN                                             E007900100                                       
S,EEU,D,,EVRA,EV,,IRP,EV,10810,ITDN,,,IRP,N56543320,E023580060,,00100,0,02,231,WGE,RIGA,S,Simulation application continuation,UU,E0089,00100,73113,1503,SEEUD EVRAEV IRP   EV110810 ITDN                   IRP N56543320E023580060     00100002231WGERIGA                          ,SEEUD EVRAEV IRP   EV2S    UU                                             E008900100                                       
S,EEU,D,,EVRA,EV,,IRV,EV,11110,ITDN,,,IRV,N56555630,E023581430,,00100,0,02,267,WGE,RIGA,S,Simulation application continuation,UU,E0089,00100,73115,1503,SEEUD EVRAEV IRV   EV111110 ITDN                   IRV N56555630E023581430     00100002267WGERIGA                          ,SEEUD EVRAEV IRV   EV2S    UU                                             E008900100                                       
S,EEU,D,,EYKA,EY,,IKM,EY,10950,ITDN,,,IKM,N54574280,E024040840,,00300,0,02,119,WGE,KAUNAS INTL,S,Simulation application continuation,UN,E0083,00300,73117,2106,SEEUD EYKAEY IKM   EY110950 ITDN                   IKM N54574280E024040840     00300002119WGEKAUNAS INTL                   ,SEEUD EYKAEY IKM   EY2S    UN                                             E008300300                                       
S,EEU,D,,EYKA,EY,,ISE,EY,10990,ITDN,,,ISE,N54574900,E024060010,,00300,0,02,202,WGE,KAUNAS INTL,S,Simulation application continuation,UN,E0084,00300,73119,2106,SEEUD EYKAEY ISE   EY110990 ITDN                   ISE N54574900E024060010     00300002202WGEKAUNAS INTL                   ,SEEUD EYKAEY ISE   EY2S    UN                                             E008400300                                       
S,EEU,D,,EYPA,EY,,IAN,EY,11010,IT N,,,IAN,N55584380,E021055370,,00100,0,,232,WGE,PALANGA INTL,S,Simulation application continuation,UN,E0078,00100,73121,1512,SEEUD EYPAEY IAN   EY111010 IT N                   IAN N55584380E021055370     001000  232WGEPALANGA INTL                  ,SEEUD EYPAEY IAN   EY2S    UN                                             E007800100                                       
S,EEU,D,,EYSA,EY,,IDL,EY,10870,ITDN,,,IDL,N55530110,E023243470,,00500,0,02,204,WGE,SIAULIAI INTL,S,Simulation application continuation,UN,E0084,00500,73123,2203,SEEUD EYSAEY IDL   EY110870 ITDN                   IDL N55530110E023243470     00500002204WGESIAULIAI INTL                 ,SEEUD EYSAEY IDL   EY2S    UN                                             E008400500                                       
S,EEU,D,,EYSA,EY,,ISZ,EY,10830,ITDN,,,ISZ,N55541820,E023230240,,00500,0,02,215,WGE,SIAULIAI INTL,S,Simulation application continuation,UN,E0084,00500,73125,2203,SEEUD EYSAEY ISZ   EY110830 ITDN                   ISZ N55541820E023230240     00500002215WGESIAULIAI INTL                 ,SEEUD EYSAEY ISZ   EY2S    UN                                             E008400500                                       
S,EEU,D,,EYVI,EY,,IAV,EY,11050,ITDN,,,IAV,N54373370,E025165580,,00600,0,02,217,WGE,VILNIUS INTL,S,Simulation application continuation,UU,E0086,00600,73127,1609,SEEUD EYVIEY IAV   EY111050 ITDN                   IAV N54373370E025165580     00600002217WGEVILNIUS INTL                  ,SEEUD EYVIEY IAV   EY2S    UU                                             E008600600                                       
S,EEU,D,,EYVI,EY,,IBK,EY,10910,ITDN,,,IBK,N54382900,E025173420,,00700,0,02,222,WGE,VILNIUS INTL,S,Simulation application continuation,UU,E0086,00700,73129,1609,SEEUD EYVIEY IBK   EY110910 ITDN                   IBK N54382900E025173420     00700002222WGEVILNIUS INTL                  ,SEEUD EYVIEY IBK   EY2S    UU                                             E008600700                                       
S,EEU,D,,LBBG,LB,,IBG,LB,11030,ITDN,,,IBG,N42343990,E027313850,,00100,0,02,113,WGE,BURGAS,S,Simulation application continuation,UU,E0061,00100,73131,2007,SEEUD LBBGLB IBG   LB111030 ITDN                   IBG N42343990E027313850     00100002113WGEBURGAS                        ,SEEUD LBBGLB IBG   LB2S    UU                                             E006100100                                       
S,EEU,D,,LBPD,LB,,IPD,LB,10990,ITDN,,,IPD,N42034950,E024513760,,00600,0,02,148,WGE,PLOVDIV,S,Simulation application continuation,UN,E0058,00600,73133,2505,SEEUD LBPDLB IPD   LB110990 ITDN                   IPD N42034950E024513760     00600002148WGEPLOVDIV                       ,SEEUD LBPDLB IPD   LB2S    UN                                             E005800600                                       
S,EEU,D,,LBSF,LB,,ISF,LB,10950,ITDN,,,ISF,N42414710,E023260890,,01800,0,02,132,WGE,VASIL LEVSKI - SOFIA,S,Simulation application continuation,UU,E0057,01800,73135,2505,SEEUD LBSFLB ISF   LB110950 ITDN                   ISF N42414710E023260890     01800002132WGEVASIL LEVSKI - SOFIA          ,SEEUD LBSFLB ISF   LB2S    UU                                             E005701800                                       
S,EEU,D,,LBSF,LB,,ISL,LB,11070,IT N,,,ISL,N42415410,E023241300,,01800,0,,163,WGE,VASIL LEVSKI - SOFIA,S,Simulation application continuation,UU,E0057,01800,73137,2505,SEEUD LBSFLB ISL   LB111070 IT N                   ISL N42415410E023241300     018000  163WGEVASIL LEVSKI - SOFIA          ,SEEUD LBSFLB ISL   LB2S    UU                                             E005701800                                       
S,EEU,D,,LBWN,LB,,IWN,LB,10990,ITDN,,,IWN,N43140280,E027484750,,00200,0,02,148,WGE,VARNA,S,Simulation application continuation,UN,E0063,00200,73139,2007,SEEUD LBWNLB IWN   LB110990 ITDN                   IWN N43140280E027484750     00200002148WGEVARNA                         ,SEEUD LBWNLB IWN   LB2S    UN                                             E006300200                                       
S,EEU,D,,LHBP,LH,,BPL,LH,10915,IT N,,,BPL,N47263870,E019154420,,00499,0,,404,WGE,LISZT FERENC INTL,S,Simulation application continuation,UN,E0057,00499,73141,2101,SEEUD LHBPLH BPL   LH110915 IT N                   BPL N47263870E019154420     004990  404WGELISZT FERENC INTL             ,SEEUD LHBPLH BPL   LH2S    UN                                             E005700499                                       
S,EEU,D,,LHBP,LH,,BPR,LH,10950,IT N,,,BPR,N47252580,E019172350,,00431,0,,107,WGE,LISZT FERENC INTL,S,Simulation application continuation,UN,E0057,00431,73143,2101,SEEUD LHBPLH BPR   LH110950 IT N                   BPR N47252580E019172350     004310  107WGELISZT FERENC INTL             ,SEEUD LHBPLH BPR   LH2S    UN                                             E005700431                                       
S,EEU,D,,LHBP,LH,,FER,LH,11050,IT N,,,FER,N47265190,E019133000,,00442,0,,209,WGE,LISZT FERENC INTL,S,Simulation application continuation,UN,E0057,00442,73145,2101,SEEUD LHBPLH FER   LH111050 IT N                   FER N47265190E019133000     004420  209WGELISZT FERENC INTL             ,SEEUD LHBPLH FER   LH2S    UN                                             E005700442                                       
S,EEU,D,,LHBP,LH,,FHL,LH,11150,IT N,,,FHL,N47255510,E019144310,,00446,0,,144,WGE,LISZT FERENC INTL,S,Simulation application continuation,UN,E0057,00446,73147,2101,SEEUD LHBPLH FHL   LH111150 IT N                   FHL N47255510E019144310     004460  144WGELISZT FERENC INTL             ,SEEUD LHBPLH FHL   LH2S    UN                                             E005700446                                       
S,EEU,D,,LHDC,LH,,DCN,LH,11010,IT N,,,DCN,N47290260,E021361860,,00387,0,,193,WGE,DEBRECEN,S,Simulation application continuation,UU,E0061,00387,73149,2401,SEEUD LHDCLH DCN   LH111010 IT N                   DCN N47290260E021361860     003870  193WGEDEBRECEN                      ,SEEUD LHDCLH DCN   LH2S    UU                                             E006100387                                       
S,EEU,D,,LHKE,LH,,KEE,LH,10995,IT N,,,KEE,N46544970,E019453720,,00379,0,,291,WGE,KECSKEMET,S,Simulation application continuation,UN,E0057,00379,73151,2010,SEEUD LHKELH KEE   LH110995 IT N                   KEE N46544970E019453720     003790  291WGEKECSKEMET                     ,SEEUD LHKELH KEE   LH2S    UN                                             E005700379                                       
S,EEU,D,,LHKE,LH,,KEW,LH,11130,IT N,,,KEW,N46552220,E019442350,,00381,0,,275,WGE,KECSKEMET,S,Simulation application continuation,UN,E0057,00381,73153,2101,SEEUD LHKELH KEW   LH111130 IT N                   KEW N46552220E019442350     003810  275WGEKECSKEMET                     ,SEEUD LHKELH KEW   LH2S    UN                                             E005700381                                       
S,EEU,D,,LHPA,LH,,PCD,LH,11035,IT N,,,PCD,N47212180,E017301010,,00486,0,,282,WGE,PAPA,S,Simulation application continuation,UN,E0054,00486,73155,2101,SEEUD LHPALH PCD   LH111035 IT N                   PCD N47212180E017301010     004860  282WGEPAPA                          ,SEEUD LHPALH PCD   LH2S    UN                                             E005400486                                       
S,EEU,D,,LHPA,LH,,PCN,LH,10855,IT N,,,PCN,N47221910,E017295350,,00476,0,,243,WGE,PAPA,S,Simulation application continuation,UN,E0054,00476,73157,2102,SEEUD LHPALH PCN   LH110855 IT N                   PCN N47221910E017295350     004760  243WGEPAPA                          ,SEEUD LHPALH PCN   LH2S    UN                                             E005400476                                       
S,EEU,D,,LHPP,LH,,PCS,LH,10835,IT N,,,PCS,N45590530,E018143490,,00643,0,,289,WGE,POGANY,S,Simulation application continuation,UN,E0053,00643,73159,2412,SEEUD LHPPLH PCS   LH110835 IT N                   PCS N45590530E018143490     006430  289WGEPOGANY                        ,SEEUD LHPPLH PCS   LH2S    UN                                             E005300643                                       
S,EEU,D,,LHPR,LH,,GPR,LH,11135,IT N,,,GPR,N47372780,E017484390,,00482,0,,114,WGE,GYOR-PER,S,Simulation application continuation,UU,E0055,00482,73161,1407,SEEUD LHPRLH GPR   LH111135 IT N                   GPR N47372780E017484390     004820  114WGEGYOR-PER                      ,SEEUD LHPRLH GPR   LH2S    UU                                             E005500482                                       
S,EEU,D,,LHSM,LH,,SMK,LH,10875,IT N,,,SMK,N46414060,E017092710,,00443,0,,314,WGE,BALATON,S,Simulation application continuation,UN,E0052,00443,73163,2104,SEEUD LHSMLH SMK   LH110875 IT N                   SMK N46414060E017092710     004430  314WGEBALATON                       ,SEEUD LHSMLH SMK   LH2S    UN                                             E005200443                                       
S,EEU,D,,LHSN,LH,,SZN,LH,10955,IT N,,,SZN,N47074420,E020141460,,00315,0,,159,WGE,SZOLNOK,S,Simulation application continuation,UN,E0059,00315,73165,2404,SEEUD LHSNLH SZN   LH110955 IT N                   SZN N47074420E020141460     003150  159WGESZOLNOK                       ,SEEUD LHSNLH SZN   LH2S    UN                                             E005900315                                       
S,EEU,D,,LHSN,LH,,SZS,LH,11075,IT N,,,SZS,N47070290,E020135100,,00325,0,,290,WGE,SZOLNOK,S,Simulation application continuation,UN,E0058,00325,73167,2310,SEEUD LHSNLH SZS   LH111075 IT N                   SZS N47070290E020135100     003250  290WGESZOLNOK                       ,SEEUD LHSNLH SZS   LH2S    UN                                             E005800325                                       
S,EEU,D,,LKCS,LK,,BW,LK,11050,IT N,,,BW,N48564309,E014261315,,01420,0,,136,WGE,CESKE BUDEJOVICE,S,Simulation application continuation,UN,E0049,01420,73169,2510,SEEUD LKCSLK BW    LK111050 IT N                   BW  N48564309E014261315     014200  136WGECESKE BUDEJOVICE              ,SEEUD LKCSLK BW    LK2S    UN                                             E004901420                                       
S,EEU,D,,LKCV,LK,,CF,LK,11175,IT N,,,CF,N49555761,E015232230,,00854,0,,266,WGE,CASLAV,S,Simulation application continuation,UU,E0053,00854,73171,2404,SEEUD LKCVLK CF    LK111175 IT N                   CF  N49555761E015232230     008540  266WGECASLAV                        ,SEEUD LKCVLK CF    LK2S    UU                                             E005300854                                       
S,EEU,D,,LKKB,LK,,KD,LK,10835,IT N,,,KD,N50072410,E014331210,,00979,0,,267,WGE,KBELY,S,Simulation application continuation,UN,E0051,00979,73173,2403,SEEUD LKKBLK KD    LK110835 IT N                   KD  N50072410E014331210     009790  267WGEKBELY                         ,SEEUD LKKBLK KD    LK2S    UN                                             E005100979                                       
S,EEU,D,,LKKV,LK,,KVY,LK,11155,IT N,,,KVY,N50120439,E012553343,,02038,0,,167,WGE,KARLOVY VARY,S,Simulation application continuation,UU,E0047,02038,73175,2501,SEEUD LKKVLK KVY   LK111155 IT N                   KVY N50120439E012553343     020380  167WGEKARLOVY VARY                  ,SEEUD LKKVLK KVY   LK2S    UU                                             E004702038                                       
S,EEU,D,,LKMT,LK,,OSV,LK,11095,IT N,,,OSV,N49421610,E018073562,,00856,0,,223,WGE,MOSNOV,S,Simulation application continuation,UN,E0058,00856,73177,2104,SEEUD LKMTLK OSV   LK111095 IT N                   OSV N49421610E018073562     008560  223WGEMOSNOV                        ,SEEUD LKMTLK OSV   LK2S    UN                                             E005800856                                       
S,EEU,D,,LKNA,LK,,LA,LK,11135,IT N,,,LA,N49093632,E016075851,,01555,0,,114,WGE,NAMEST,S,Simulation application continuation,UN,E0053,01555,73179,2212,SEEUD LKNALK LA    LK111135 IT N                   LA  N49093632E016075851     015550  114WGENAMEST                        ,SEEUD LKNALK LA    LK2S    UN                                             E005301555                                       
S,EEU,D,,LKPD,LK,,PK,LK,10935,IT N,,,PK,N50004294,E015450669,,00783,0,,193,WGE,PARDUBICE,S,Simulation application continuation,UN,E0053,00783,73181,2505,SEEUD LKPDLK PK    LK110935 IT N                   PK  N50004294E015450669     007830  193WGEPARDUBICE                     ,SEEUD LKPDLK PK    LK2S    UN                                             E005300783                                       
S,EEU,D,,LKPO,LK,,CK,LK,11015,IT N,,,CK,N49252446,E017233144,,00722,0,,375,WGE,PREROV,S,Simulation application continuation,UN,E0056,00722,73183,0113,SEEUD LKPOLK CK    LK111015 IT N                   CK  N49252446E017233144     007220  375WGEPREROV                        ,SEEUD LKPOLK CK    LK2S    UN                                             E005600722                                       
S,EEU,D,,LKPR,LK,,PA,LK,10995,IT N,,,PA,N50062003,E014145156,,01211,0,,287,WGE,RUZYNE,S,Simulation application continuation,UN,E0050,01211,73185,2107,SEEUD LKPRLK PA    LK110995 IT N                   PA  N50062003E014145156     012110  287WGERUZYNE                        ,SEEUD LKPRLK PA    LK2S    UN                                             E005001211                                       
S,EEU,D,,LKPR,LK,,PG,LK,10950,IT N,,,PG,N50052851,E014163393,,01284,0,,139,WGE,RUZYNE,S,Simulation application continuation,UN,E0050,01284,73187,2107,SEEUD LKPRLK PG    LK110950 IT N                   PG  N50052851E014163393     012840  139WGERUZYNE                        ,SEEUD LKPRLK PG    LK2S    UN                                             E005001284                                       
