record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123
S,EEU,P,,UACC,UA,V,INF,0120300,,V,1,S L,N,A,,N51012100,E071275800,E0100,01166,N,,,,,,,,,,00,,,,,ZHOLAMAN,,,,,,,,,SEEUP UACCUAVINF0120300 V1S LNA N51012100E071275800E010001166N                          00        ZHOLAMAN                 ,SEEUP UACCUAVINF0120300 V2 T  17000R000S                                                                                   ,,,
S,EEU,P,,UACC,UA,V,INF,0133600,,V,1,SSL,N,A,,N51012100,E071275800,E0100,01166,N,,,,,,,,,,00,,,,,ZHOLAMAN,,,,,,,,,SEEUP UACCUAVINF0133600 V1SSLNA N51012100E071275800E010001166N                          00        ZHOLAMAN                 ,SEEUP UACCUAVINF0133600 V2 T  17000R000S                                                                                   ,,,
S,EEU,P,,UCFM,UC,V,RDR,0120300,,V,0,,R,A,,N43034058,E074283903,E0060,02090,Y,,,,,,,,,,00,,,,,BISHKEK,,,,,,,,,SEEUP UCFMUCVRDR0120300 V0   RA N43034058E074283903E006002090Y                          00        BISHKEK                  ,,,,
S,EEU,P,,UHNB,UH,V,TWR,0118500,,V,1,L,N,A,,N52225500,E140265900,W0130,00170,N,,,,,,,,,,00,,,,,BOGORODSKOYE VYSHKA,,,,,,,,,SEEUP UHNBUHVTWR0118500 V1  LNA N52225500E140265900W013000170N                          00        BOGORODSKOYE VYSHKA      ,SEEUP UHNBUHVTWR0118500 V2 N  DURING HOURS OF SCHEDULED OF OPERATIONS                                                      ,,,
S,EEU,P,,ULMM,UL,V,RDR,0120700,,V,0,,R,A,,N68465400,E032450400,E0160,00267,Y,,,,,,,,,,00,,,,,MURMANSK,,,,,,,,,SEEUP ULMMULVRDR0120700 V0   RA N68465400E032450400E016000267Y                          00        MURMANSK                 ,,,,
S,EEU,P,,ULMM,UL,V,RDR,0124000,,V,0,S,R,A,,N68465400,E032450400,E0160,00267,Y,,,,,,,,,,00,,,,,MURMANSK,,,,,,,,,SEEUP ULMMULVRDR0124000 V0 S RA N68465400E032450400E016000267Y                          00        MURMANSK                 ,,,,
S,EEU,P,,ULMM,UL,V,RDR,0129000,,V,0,S,R,A,,N68465400,E032450400,E0160,00267,Y,,,,,,,,,,00,,,,,MURMANSK,,,,,,,,,SEEUP ULMMULVRDR0129000 V0 S RA N68465400E032450400E016000267Y                          00        MURMANSK                 ,,,,
S,EEU,P,,UMKK,UM,V,TWR,0127200,,V,1,,R,A,,N54533000,E020355500,E0070,00043,Y,,,,,,,,,,00,,,,,KALININGRAD,,,,,,,,,SEEUP UMKKUMVTWR0127200 V1   RA N54533000E020355500E007000043Y                          00        KALININGRAD              ,SEEUP UMKKUMVTWR0127200 V2 CTR 1                                                                                           ,,,
S,EEU,P,,URKG,UR,V,ATI,0133375,T,V,1,L,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP URKGURVATI0133375TV1  LNA N44345500E038004700E007000131N                          00                                 ,SEEUP URKGURVATI0133375TV2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,ATI,0134875,T,V,1,,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP URKGURVATI0134875TV1   NA N44345500E038004700E007000131N                          00                                 ,SEEUP URKGURVATI0134875TV2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,EMR,0123100,,V,1,,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK,,,,,,,,,SEEUP URKGURVEMR0123100 V1   NA N44345500E038004700E007000131N                          00        GELENDZHIK               ,SEEUP URKGURVEMR0123100 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,OPS,0131125,,V,1,L,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDHZIK TRANSIT,,,,,,,,,SEEUP URKGURVOPS0131125 V1  LNA N44345500E038004700E007000131N                          00        GELENDHZIK TRANSIT       ,SEEUP URKGURVOPS0131125 V2 T  1705301800                                                                                   ,,,
S,EEU,P,,URKG,UR,V,RDR,0122700,,V,1,,R,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK,,,,,,,,,SEEUP URKGURVRDR0122700 V1   RA N44345500E038004700E007000131N                          00        GELENDZHIK               ,SEEUP URKGURVRDR0122700 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,RDR,0124000,,V,1,S,R,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK,,,,,,,,,SEEUP URKGURVRDR0124000 V1 S RA N44345500E038004700E007000131N                          00        GELENDZHIK               ,SEEUP URKGURVRDR0124000 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,RDR,0124425,,V,1,S,R,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK,,,,,,,,,SEEUP URKGURVRDR0124425 V1 S RA N44345500E038004700E007000131N                          00        GELENDZHIK               ,SEEUP URKGURVRDR0124425 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,RDR,0129000,,V,1,S,R,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK,,,,,,,,,SEEUP URKGURVRDR0129000 V1 S RA N44345500E038004700E007000131N                          00        GELENDZHIK               ,SEEUP URKGURVRDR0129000 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,RMP,0118900,,V,1,L,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK BUKSIROVKA,,,,,,,,,SEEUP URKGURVRMP0118900 V1  LNA N44345500E038004700E007000131N                          00        GELENDZHIK BUKSIROVKA    ,SEEUP URKGURVRMP0118900 V2 T  1705301800                                                                                   ,,,
S,EEU,P,,URKG,UR,V,TWR,0121000,,V,1,,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK START,,,,,,,,,SEEUP URKGURVTWR0121000 V1   NA N44345500E038004700E007000131N                          00        GELENDZHIK START         ,SEEUP URKGURVTWR0121000 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,TWR,0124000,,V,1,S,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK START,,,,,,,,,SEEUP URKGURVTWR0124000 V1 S NA N44345500E038004700E007000131N                          00        GELENDZHIK START         ,SEEUP URKGURVTWR0124000 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URKG,UR,V,TWR,0129000,,V,1,S,N,A,,N44345500,E038004700,E0070,00131,N,,,,,,,,,,00,,,,,GELENDZHIK START,,,,,,,,,SEEUP URKGURVTWR0129000 V1 S NA N44345500E038004700E007000131N                          00        GELENDZHIK START         ,SEEUP URKGURVTWR0129000 V2 T  1705152030                                                                                   ,,,
S,EEU,P,,URWW,UR,V,GND,0119000,,V,0,,N,A,,N48464900,E044200800,E0100,00476,Y,,,,,,,,,,00,,,,,VOLGOGRAD,,,,,,,,,SEEUP URWWURVGND0119000 V0   NA N48464900E044200800E010000476Y                          00        VOLGOGRAD                ,,,,
