record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,,,,BHS,ZU,11790,VDHW,N30304200,E104120000,,N30304200,E104120000,W0020,01624,2,,,WGE,BAIHESI,S,Simulation application continuation,UN,W0025,01624,71611,1802,SEEUD        BHS   ZU111790VDHW N30304200E104120000    N30304200E104120000W0020016242     WGEBAIHESI                       ,SEEUD        BHS   ZU2S    UN                                             W002501624                                       
S,EEU,D,,,,,BHY,ZG,11710,VDHW,N21351200,E109255400,,N21351200,E109255400,W0020,00115,2,,525,WGE,NANKANG,S,Simulation application continuation,UN,W0023,00115,71613,1913,SEEUD        BHY   ZG111710VDHW N21351200E109255400    N21351200E109255400W0020001152  525WGENANKANG                       ,SEEUD        BHY   ZG2S    UN                                             W002300115                                       
S,EEU,D,,,,,BJZ,ZB,10820,VDHW,N40031800,E113293600,,N40031800,E113293600,W0060,03467,2,,,WGE,BEIJIAZAO,S,Simulation application continuation,UN,W0067,03467,71619,2411,SEEUD        BJZ   ZB110820VDHW N40031800E113293600    N40031800E113293600W0060034672     WGEBEIJIAZAO                     ,SEEUD        BJZ   ZB2S    UN                                             W006703467                                       
S,EEU,D,,,,,BKS,LH,11580,VDH,N46475990,E021042600,,N46475990,E021042600,E0060,00302,2,,375,WGE,BEKES,S,Simulation application continuation,UN,E0059,00302,71621,2106,SEEUD        BKS   LH111580VDH  N46475990E021042600    N46475990E021042600E0060003022  375WGEBEKES                         ,SEEUD        BKS   LH2S    UN                                             E005900302                                       
S,EEU,D,,,,,BL,UU,11000,VDHW,N50381280,E036363070,,N50381250,E036363020,E0080,00700,2,,571,WGE,BELGOROD,S,Simulation application continuation,UN,E0095,00700,71627,2013,SEEUD        BL    UU111000VDHW N50381280E036363070    N50381250E036363020E0080007002  571WGEBELGOROD                      ,SEEUD        BL    UU2S    UN                                             E009500700                                       
S,EEU,D,,,,,BLG,UH,11360,VDHW,N50233600,E127253520,,N50233600,E127253520,W0130,00800,2,,,WGE,BLAGOVESHCHENSK,S,Simulation application continuation,UN,W0128,00800,71629,2312,SEEUD        BLG   UH111360VDHW N50233600E127253520    N50233600E127253520W0130008002     WGEBLAGOVESHCHENSK               ,SEEUD        BLG   UH2S    UN                                             W012800800                                       
S,EEU,D,,,,,BLH,UA,11370,VDH,N46525910,E074590170,,N46525910,E074590170,E0070,01400,2,,,WGE,BALKHASH,S,Simulation application continuation,UU,E0070,01400,71631,2306,SEEUD        BLH   UA111370VDH  N46525910E074590170    N46525910E074590170E0070014002     WGEBALKHASH                      ,SEEUD        BLH   UA2S    UU                                             E007001400                                       
S,EEU,D,,,,,BLO,LB,11750,VDH,N42400160,E023485020,,N42400160,E023485020,E0050,03100,2,,285,WGE,BAILOVO,S,Simulation application continuation,UN,E0057,,71633,2301,SEEUD        BLO   LB111750VDH  N42400160E023485020    N42400160E023485020E0050031002  285WGEBAILOVO                       ,SEEUD        BLO   LB2S    UN                                             E0057                                            
S,EEU,D,,,,,BLZ,UL,11040,VDHW,N60010200,E037451900,,N60010200,E037451900,E0130,00459,2,,411,WGE,BELOZERSK,S,Simulation application continuation,UN,E0144,00459,71635,2112,SEEUD        BLZ   UL111040VDHW N60010200E037451900    N60010200E037451900E0130004592  411WGEBELOZERSK                     ,SEEUD        BLZ   UL2S    UN                                             E014400459                                       
S,EEU,D,,,,,BMK,UW,11340,VDHW,N54154670,E048133180,,N54154670,E048133180,E0130,00400,2,,407,WGE,ULYANOVSK-BARATAYEVKA,S,Simulation application continuation,UN,E0130,00400,71637,2113,SEEUD        BMK   UW111340VDHW N54154670E048133180    N54154670E048133180E0130004002  407WGEULYANOVSK-BARATAYEVKA         ,SEEUD        BMK   UW2S    UN                                             E013000400                                       
