record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,AFR,P,FMMI,FM,I,IO,1,10950,RW11,S18475763,E047294196,1140,S18474700,E047280409,0577,,1378,0000,300,W0150,49,04211,,,,,SAFRP FMMIFMIIO  1   110950RW11 S18475763E0472941961140S18474700E0472804090577 13780000300W01504904211                     ,S,Simulation application continuation,SAFRP FMMIFMIIO  1   2S    U  N                    09900Y                              140                                 ,5,"localizer_longitude,glide_slope_latitude,glide_slope_longitude,glide_slope_elevation,primary_1_123"
S,AFR,P,FOOL,FO,I,LB,1,10950,RW16,N00263840,E009250950,1550,N00280420,E009242380,1047,,0972,0000,300,W0010,49,00092,,,,,SAFRP FOOLFOILB  1   110950RW16 N00263840E0092509501550N00280420E0092423801047 09720000300W00104900092                     ,S,Simulation application continuation,SAFRP FOOLFOILB  1   2S    U  N                    15400N                              140                                 ,3,"localizer_bearing,station_declination,primary_1_123"
S,AFR,P,FQMA,FQ,I,MA,2,11030,RW23,S25554030,E032340570,2270,S25535280,E032350650,1312,,1154,0000,300,W0180,49,00194,,,,,SAFRP FQMAFQIMA  2   111030RW23 S25554030E0323405702270S25535280E0323506501312 11540000300W01804900194                     ,S,Simulation application continuation,SAFRP FQMAFQIMA  2   2S    U  N                    20900Y                              140                                 ,2,"glide_slope_elevation,primary_1_123"
S,AFR,P,GBYD,GB,I,IYM,1,10950,RW32,N13210200,W016400200,3170,N13194198,W016383234,1155,,0971,0000,300,W0060,49,00093,,,,,SAFRP GBYDGBIIYM 1   110950RW32 N13210200W0164002003170N13194198W0163832341155 09710000300W00604900093                     ,S,Simulation application continuation,SAFRP GBYDGBIIYM 1   2S    U  N                    31100N                              140                                 ,4,"localizer_bearing,station_declination,glide_slope_elevation,primary_1_123"
S,AFR,P,GFLL,GF,I,ISH,1,10990,RW30,N08371732,W013124327,2950,N08364250,W013110538,0969,,1033,0000,300,W0080,55,00088,,,,,SAFRP GFLLGFIISH 1   110990RW30 N08371732W0131243272950N08364250W0131105380969 10330000300W00805500088                     ,S,Simulation application continuation,SAFRP GFLLGFIISH 1   2S    U  N                    28700N                              140                                 ,7,"localizer_latitude,localizer_longitude,glide_slope_latitude,glide_slope_longitude,glide_slope_position,glide_slope_elevation,primary_1_123"
S,AFR,P,GVAC,GV,I,SL,1,10990,RW01,N16451398,W022565667,0080,N16433641,W022565194,1046,,1033,0000,300,W0090,50,00176,,,,,SAFRP GVACGVISL  1   110990RW01 N16451398W0225656670080N16433641W0225651941046 10330000300W00905000176                     ,S,Simulation application continuation,SAFRP GVACGVISL  1   2S    U  N                    35900N                              140                                 ,2,"glide_slope_elevation,primary_1_123"
S,AFR,P,HEAZ,HE,I,IALZ,1,10930,RW36,N30061570,E031213600,3570,N30051440,E031213940,0877,,0850,0000,390,E0050,50,00361,,,,,SAFRP HEAZHEIIALZ1   110930RW36 N30061570E0312136003570N30051440E0312139400877 08500000390E00505000361                     ,S,Simulation application continuation,SAFRP HEAZHEIIALZ1   2S    U  N                    00200N                              140                                 ,5,"localizer_bearing,glide_slope_latitude,glide_slope_position,primary_1_123,cont#2_1_123"
S,AFR,P,HECA,HE,I,IZFL,2,11090,RW05L,N30082500,E031242820,0440,N30072330,E031225660,0652,,1276,0000,300,E0050,50,00230,,,,,SAFRP HECAHEIIZFL2   111090RW05LN30082500E0312428200440N30072330E0312256600652 12760000300E00505000230                     ,S,Simulation application continuation,SAFRP HECAHEIIZFL2   2S    U  N                    04900N                              140                                 ,2,"glide_slope_height_lthr,primary_1_123"
S,AFR,P,HESH,HE,I,KIL,1,10950,RW04L,N27592530,E034241960,0390,N27581110,E034230810,0704,,0972,0000,300,E0040,49,00160,,,,,SAFRP HESHHEIKIL 1   110950RW04LN27592530E0342419600390N27581110E0342308100704 09720000300E00404900160                     ,S,Simulation application continuation,SAFRP HESHHEIKIL 1   2S    U  N                    04300N                              140                                 ,2,"glide_slope_height_lthr,primary_1_123"
S,AFR,P,HESX,HE,I,IPSX,1,11150,RW34L,N30073660,E030532500,3410,N30054300,E030540170,0955,,1093,0000,300,E0050,53,00580,,,,,SAFRP HESXHEIIPSX1   111150RW34LN30073660E0305325003410N30054300E0305401700955 10930000300E00505300580                     ,S,Simulation application continuation,SAFRP HESXHEIIPSX1   2S    U  N                    34600N                              140                                 ,2,"glide_slope_height_lthr,primary_1_123"
S,AFR,P,HTKJ,HT,I,KK,1,11090,RW09,S03254289,E037053676,0880,S03255280,E037034069,1083,,1093,0000,300,W0000,50,02936,,,,,SAFRP HTKJHTIKK  1   111090RW09 S03254289E0370536760880S03255280E0370340691083 10930000300W00005002936                     ,S,Simulation application continuation,SAFRP HTKJHTIKK  1   2S    U  N                    08800N                              140                                 ,2,"glide_slope_elevation,primary_1_123"
