record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123,changed_field_count,changed_fields
S,SAM,P,,SCHR,SC,V,INF,0126700,,V,1,S,N,A,,S47143700,W072350500,E0131,00643,N,,,,,,,,,,00,,,,,COCHRANE,SSAMP SCHRSCVINF0126700 V1S  NA S47143700W072350500E013100643N                          00        COCHRANE                 ,,,SSAMP SCHRSCVINF0126700 V2 H  14113020300511301930                                                                         ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCMK,SC,V,INF,0127700,,V,1,S L,N,A,,S43534200,W073442000,E0098,00035,N,,,,,,,,,,00,,,,,MELINKA,SSAMP SCMKSCVINF0127700 V1S LNA S43534200W073442000E009800035N                          00        MELINKA                  ,,,SSAMP SCMKSCVINF0127700 V2 T  15113021300611301630                                                                         ,,,,,,,,,,,,,3,"service_indicator,primary_1_123,cont#2_1_123"
S,SAM,P,,SCNT,SC,V,GND,0121700,,V,1,,N,A,,S51401500,W072314300,E0131,00218,N,,,,,,,,,,00,,,,,NATALES,SSAMP SCNTSCVGND0121700 V1   NA S51401500W072314300E013100218N                          00        NATALES                  ,,,SSAMP SCNTSCVGND0121700 V2 T  1711002245                                                                                   ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCNT,SC,V,TWR,0118100,,V,1,,N,A,,S51401500,W072314300,E0131,00218,N,,,,,,,,,,00,,,,,NATALES,SSAMP SCNTSCVTWR0118100 V1   NA S51401500W072314300E013100218N                          00        NATALES                  ,,,SSAMP SCNTSCVTWR0118100 V2 T  1711002245                                                                                   ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCPD,SC,V,GND,0122000,,V,1,,N,A,,S33070260,W070410183,E0008,02198,N,,,,,,,,,,00,,,,,PELDEHUE,SSAMP SCPDSCVGND0122000 V1   NA S33070260W070410183E000802198N                          00        PELDEHUE                 ,,,"SSAMP SCPDSCVGND0122000 V2 N  MON-FRI 1245Z-SS; SAT-SUN, HOL 1330Z-SS.                                                     ",,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCPD,SC,V,TWR,0118000,,V,1,S,N,A,,S33070260,W070410183,E0008,02198,N,,,,,,,,,,00,,,,,PELDEHUE,SSAMP SCPDSCVTWR0118000 V1 S NA S33070260W070410183E000802198N                          00        PELDEHUE                 ,,,"SSAMP SCPDSCVTWR0118000 V2 N  MON-FRI 1245Z-SS; SAT-SUN, HOL 1330Z-SS.                                                     ",,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SCPD,SC,V,TWR,0118600,,V,1,,N,A,,S33070260,W070410183,E0008,02198,N,,,,,,,,,,00,,,,,PELDEHUE,SSAMP SCPDSCVTWR0118600 V1   NA S33070260W070410183E000802198N                          00        PELDEHUE                 ,,,"SSAMP SCPDSCVTWR0118600 V2 N  MON-FRI 1245Z-SS; SAT-SUN, HOL 1330Z-SS.                                                     ",,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SDCO,SB,V,ATI,0127775,T,V,0,,N,A,,S23284000,W047292400,W0220,02083,Y,,,,,,,,,,00,,,,,,SSAMP SDCOSBVATI0127775TV0   NA S23284000W047292400W022002083Y                          00                                 ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SDCO,SB,V,GND,0121800,,V,0,,N,A,,S23284000,W047292400,W0220,02083,Y,,,,,,,,,,00,,,,,SOROCABA,SSAMP SDCOSBVGND0121800 V0   NA S23284000W047292400W022002083Y                          00        SOROCABA                 ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SDCO,SB,V,INF,0118800,,V,1,S,N,A,,S23284000,W047292400,W0220,02083,N,,,,,,,,,,00,,,,,SOROCABA,SSAMP SDCOSBVINF0118800 V1S  NA S23284000W047292400W022002083N                          00        SOROCABA                 ,,,SSAMP SDCOSBVINF0118800 V2 T  1709151059012101014517210101450721010145                                                     ,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
