record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123
S,USA,P,,KGOV,K5,V,TWR,0126200,,V,1,CP,N,A,,N44404920,W084434390,W0060,01158,N,,,,,,,,,,00,,,,,GRAYLING,SUSAP KGOVK5VTWR0126200 V1 CPNA N44404920W084434390W006001158N                          00        GRAYLING                 ,,,"SUSAP KGOVK5VTWR0126200 V2 N  APR-SEP; MON-FRI, 1300-0500Z. OCT-MAR; MON-FRI, 1300-0100Z. EXCEPT FED                       ",,,SUSAP KGOVK5VTWR0126200 V3 N  ERAL HOLIDAYS.                                                                               ,,,,,,,,,
S,USA,P,,KGRB,K5,V,ACC,0124400,,V,1,G,R,A,,N44464488,W089393343,W0030,01240,N,,,,,,,,,,00,,,,,MINNEAPOLIS,SUSAP KGRBK5VACC0124400 V1  GRA N44464488W089393343W003001240N                          00        MINNEAPOLIS              ,,,SUSAP KGRBK5VACC0124400 V2 T  1705301130                                                                                   ,,,,,,,,,,,,
S,USA,P,,KGRE,K5,V,AWO,0123050,T,V,0,,N,A,,N38501040,W089224400,W0020,00541,Y,,,,,,,,,,00,,,,,,SUSAP KGREK5VAWO0123050TV0   NA N38501040W089224400W002000541Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KGSP,K7,V,ASO,0134250,T,V,1,,N,A,,N34534442,W082130789,W0060,00964,N,,,,,,,,,,00,,,,,,SUSAP KGSPK7VASO0134250TV1   NA N34534442W082130789W006000964N                          00                                 ,,,SUSAP KGSPK7VASO0134250TV2 T  1704451100                                                                                   ,,,,,,,,,,,,
S,USA,P,,KGTB,K6,V,CLD,0123450,,V,0,,N,A,,N44032021,W075431163,W0130,00690,Y,,,,,,,,,,00,,,,,WHEELER-SACK,SUSAP KGTBK6VCLD0123450 V0   NA N44032021W075431163W013000690Y                          00        WHEELER-SACK             ,,,,,,,,,,,,,,,
S,USA,P,,KGTB,K6,V,GND,0123450,,V,0,,N,A,,N44032021,W075431163,W0130,00690,Y,,,,,,,,,,00,,,,,WHEELER-SACK,SUSAP KGTBK6VGND0123450 V0   NA N44032021W075431163W013000690Y                          00        WHEELER-SACK             ,,,,,,,,,,,,,,,
S,USA,P,,KGVT,K4,V,ACC,0036075,,U,0,M,R,F,,N33080800,W095511300,E0020,00640,Y,,,,,,,,,,00,,,,,FT WORTH,SUSAP KGVTK4VACC0036075 U0  MRF N33080800W095511300E002000640Y                          00        FT WORTH                 ,,,,,,,,,,,,,,,
S,USA,P,,KGYH,K7,V,ASO,0134250,T,V,1,S,N,A,,N34534442,W082130789,W0060,00964,N,,,,,,,,,,00,,,,,,SUSAP KGYHK7VASO0134250TV1 S NA N34534442W082130789W006000964N                          00                                 ,,,SUSAP KGYHK7VASO0134250TV2 T  1704451100                                                                                   ,,,,,,,,,,,,
S,USA,P,,KHON,K3,V,ACC,0128500,,V,0,G,N,A,,N44584687,W097083026,E0030,01772,Y,,,,,,,,,,00,,,,,MINNEAPOLIS,SUSAP KHONK3VACC0128500 V0  GNA N44584687W097083026E003001772Y                          00        MINNEAPOLIS              ,,,,,,,,,,,,,,,
S,USA,P,,KHSA,K7,V,ACC,0132600,,V,1,G,R,A,,N30451368,W088182603,W0030,00250,N,,,,,,,,,,00,,,,,HOUSTON,SUSAP KHSAK7VACC0132600 V1  GRA N30451368W088182603W003000250N                          00        HOUSTON                  ,,,SUSAP KHSAK7VACC0132600 V2 T  1705001200                                                                                   ,,,,,,,,,,,,
S,USA,P,,KIPL,K2,V,ACC,0128550,,V,0,G,R,A,,N32493300,W115403100,E0110,00010,Y,,,,,,,,,,00,,,,,YUMA,SUSAP KIPLK2VACC0128550 V0  GRA N32493300W115403100E011000010Y                          00        YUMA                     ,,,,,,,,,,,,,,,
S,USA,P,,KIRS,K5,V,CLD,0118325,,V,1,,N,A,,N42140380,W085330560,W0030,00874,N,,,,,,,,,,00,,,,,GREAT LAKES,SUSAP KIRSK5VCLD0118325 V1   NA N42140380W085330560W003000874N                          00        GREAT LAKES              ,,,SUSAP KIRSK5VCLD0118325 V2 T  011100040017110004000711000400                                                               ,,,,,,,,,,,,
S,USA,P,,KJAQ,K2,V,ATI,0125500,T,V,1,S,N,A,,N38304630,W121293588,E0140,00024,N,,,,,,,,,,00,,,,,,SUSAP KJAQK2VATI0125500TV1 S NA N38304630W121293588E014000024N                          00                                 ,,,SUSAP KJAQK2VATI0125500TV2 T  1714000500                                                                                   ,,,,,,,,,,,,
S,USA,P,,KJDD,K4,V,ACC,0132850,,V,1,G,R,A,,N33080800,W095511300,E0020,00640,N,,,,,,,,,,00,,,,,FT WORTH,SUSAP KJDDK4VACC0132850 V1  GRA N33080800W095511300E002000640N                          00        FT WORTH                 ,,,SUSAP KJDDK4VACC0132850 V2 T  1704001200                                                                                   ,,,,,,,,,,,,
S,USA,P,,KLNC,K4,V,GCO,0121725,,V,0,,N,A,,N32343938,W096430301,E0060,00501,Y,,,,,,,,,,00,,,,,DALLAS/FORT WORTH TRACON,SUSAP KLNCK4VGCO0121725 V0   NA N32343938W096430301E006000501Y                          00        DALLAS/FORT WORTH TRACON ,,,,,,,,,,,,,,,
S,USA,P,,KLRY,K3,V,UNI,0123000,,V,0,CP,N,A,,N38363670,W094203670,E0040,00915,Y,,,,,,,,,,00,,,,,SMITH MEML,SUSAP KLRYK3VUNI0123000 V0 CPNA N38363670W094203670E004000915Y                          00        SMITH MEML               ,,,,,,,,,,,,,,,
S,USA,P,,KLUF,K2,V,APP,0023900,,U,1,SM,R,F,,N33260340,W112004170,E0120,01135,N,,,,,,,,,,00,,,,,PHOENIX,SUSAP KLUFK2VAPP0023900 U1 SMRF N33260340W112004170E012001135N                          00        PHOENIX                  ,,,"SUSAP KLUFK2VAPP0023900 U2 N  MON-THU 0530-1330Z, FRI 0130-1330Z, H24 WEEKENDS, HOLIDAYS AND AETC FA                       ",,,SUSAP KLUFK2VAPP0023900 U3 N  MILY DAYS.                                                                                   ,,,,,,,,,
S,USA,P,,KLUF,K2,V,APP,0120700,,V,1,S,R,A,,N33260340,W112004170,E0120,01135,N,,,,,,,,,,00,,,,,PHOENIX,SUSAP KLUFK2VAPP0120700 V1 S RA N33260340W112004170E012001135N                          00        PHOENIX                  ,,,"SUSAP KLUFK2VAPP0120700 V2 N  MON-THU 0530-1330Z, FRI 0130-1330Z, H24 WEEKENDS, HOLIDAYS AND AETC FA                       ",,,SUSAP KLUFK2VAPP0120700 V3 N  MILY DAYS.                                                                                   ,,,,,,,,,
S,USA,P,,KLUF,K2,V,DEP,0023900,,U,1,SM,R,F,,N33260340,W112004170,E0120,01135,N,,,,,,,,,,00,,,,,PHOENIX,SUSAP KLUFK2VDEP0023900 U1 SMRF N33260340W112004170E012001135N                          00        PHOENIX                  ,,,"SUSAP KLUFK2VDEP0023900 U2 N  MON-THU 0530-1330Z, FRI 0130-1330Z, H24 WEEKENDS, HOLIDAYS AND AETC FA                       ",,,SUSAP KLUFK2VDEP0023900 U3 N  MILY DAYS.                                                                                   ,,,,,,,,,
S,USA,P,,KLUF,K2,V,DEP,0120700,,V,1,S,R,A,,N33260340,W112004170,E0120,01135,N,,,,,,,,,,00,,,,,PHOENIX,SUSAP KLUFK2VDEP0120700 V1 S RA N33260340W112004170E012001135N                          00        PHOENIX                  ,,,"SUSAP KLUFK2VDEP0120700 V2 N  MON-THU 0530-1330Z, FRI 0130-1330Z, H24 WEEKENDS, HOLIDAYS AND AETC FA                       ",,,SUSAP KLUFK2VDEP0120700 V3 N  MILY DAYS.                                                                                   ,,,,,,,,,
S,USA,P,,KLUM,K5,V,UNI,0122700,,V,0,CP,N,A,,N44533244,W091520405,E0010,00895,Y,,,,,,,,,,00,,,,,MENOMONIE MUN/SCORE,SUSAP KLUMK5VUNI0122700 V0 CPNA N44533244W091520405E001000895Y                          00        MENOMONIE MUN/SCORE      ,,,,,,,,,,,,,,,
