record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,LAM,P,MDSI,MD,I,ISIS,1,10910,RW21,N18293854,W069455996,2170,N18303813,W069453405,0380,,0987,0000,300,W0110,50,00148,,,,,SLAMP MDSIMDIISIS1   110910RW21 N18293854W0694559962170N18303813W0694534050380 09870000300W01105000148                     ,S,Simulation application continuation,SLAMP MDSIMDIISIS1   2S    U  U                    20600Y                              140                                 
S,MES,P,LTCA,LT,I,IELZ,0,11090,RW07R,N38360570,E039180610,0700,,,1036,,,0000,,E0060,,,,,,,SMESP LTCALTIIELZ0   111090RW07RN38360570E0391806100700                   1036     0000   E0060                            ,S,Simulation application continuation,SMESP LTCALTIIELZ0   2S    U  U                    07600N                                                                  
S,MES,P,OEKK,OE,I,IKMC,1,10870,RW31,N27544880,E045304000,3070,N27532840,E045322120,1183,,1033,0000,300,E0030,53,01341,,,,,SMESP OEKKOEIIKMC1   110870RW31 N27544880E0453040003070N27532840E0453221201183 10330000300E00305301341                     ,S,Simulation application continuation,SMESP OEKKOEIIKMC1   2S    U  N                    31000Y                              140                                 
S,MES,P,OOMS,OO,I,IML,1,10890,RW08L,N23363357,E058180226,0840,N23362623,E058154006,1737,,1094,0000,300,E0010,55,00020,,,,,SMESP OOMSOOIIML 1   110890RW08LN23363357E0581802260840N23362623E0581540061737 10940000300E00105500020                     ,S,Simulation application continuation,SMESP OOMSOOIIML 1   2S    U  N                    08500Y                              140                                 
S,MES,P,OOMS,OO,I,IMR,1,11070,RW26R,N23361916,E058150283,2640,N23363520,E058173171,2415,,1094,0000,300,E0010,57,00014,,,,,SMESP OOMSOOIIMR 1   111070RW26RN23361916E0581502832640N23363520E0581731712415 10940000300E00105700014                     ,S,Simulation application continuation,SMESP OOMSOOIIMR 1   2S    U  N                    26500Y                              140                                 
S,MES,P,OOSA,OO,I,ISE,1,11090,RW25,N17015835,E054035510,2500,N17023925,E054060994,1640,,1033,0000,300,E0010,55,00088,,,,,SMESP OOSAOOIISE 1   111090RW25 N17015835E0540355102500N17023925E0540609941640 10330000300E00105500088                     ,S,Simulation application continuation,SMESP OOSAOOIISE 1   2S    U  N                    25100N                              140                                 
S,MES,P,OOSA,OO,I,ISW,1,10870,RW07,N17025086,E054063172,0700,N17020322,E054042244,1338,,1033,0000,300,E0010,54,00068,,,,,SMESP OOSAOOIISW 1   110870RW07 N17025086E0540631720700N17020322E0540422441338 10330000300E00105400068                     ,S,Simulation application continuation,SMESP OOSAOOIISW 1   2S    U  N                    07100N                              140                                 
S,MES,P,VABP,VA,I,IBPH,1,10990,RW30,N23174670,E077185230,2980,N23170010,E077201930,1349,,0971,0000,300,W0000,54,01733,,,,,SMESP VABPVAIIBPH1   110990RW30 N23174670E0771852302980N23170010E0772019301349 09710000300W00005401733                     ,S,Simulation application continuation,SMESP VABPVAIIBPH1   2S    U  N                    29800N                              140                                 
S,MES,P,VERP,VE,I,IRAI,1,11030,RW24,N21102754,E081434060,2400,N21111839,E081451907,1082,,1093,0000,300,W0010,55,01047,,,,,SMESP VERPVEIIRAI1   111030RW24 N21102754E0814340602400N21111839E0814519071082 10930000300W00105501047                     ,S,Simulation application continuation,SMESP VERPVEIIRAI1   2S    U  N                    23900N                              140                                 
S,MES,P,VGHS,VG,I,IDA,1,10950,RW14,N23494000,E090243650,1440,N23511270,E090232860,1745,,0972,0000,300,W0010,52,00050,,,,,SMESP VGHSVGIIDA 1   110950RW14 N23494000E0902436501440N23511270E0902328601745 09720000300W00105200050                     ,S,Simulation application continuation,SMESP VGHSVGIIDA 1   2S    U  N                    14300N                              140                                 
S,PAC,P,RJCC,RJ,I,ICS,3,11150,RW19R,N42453434,E141413553,1820,N42470831,E141412450,0755,,1073,0500,300,W0100,54,00082,,,,,SPACP RJCCRJIICS 3   111150RW19RN42453434E1414135531820N42470831E1414124500755 10730500300W01005400082                     ,S,Simulation application continuation,SPACP RJCCRJIICS 3   2S    U  U                    17200N                              140                                 
S,PAC,P,VTCN,VT,I,INAN,1,11030,RW02,N18490330,E100471413,0220,N18480872,E100464808,0242,,0736,0000,340,W0010,58,00679,,,,,SPACP VTCNVTIINAN1   111030RW02 N18490330E1004714130220N18480872E1004648080242 07360000340W00105800679                     ,S,Simulation application continuation,SPACP VTCNVTIINAN1   2S    U  N                    02100N                              140                                 
S,SAM,P,SAZT,SA,I,DI,1,10990,RW19,S37150720,W059134996,1920,S37133281,W059133377,2258,,1000,0500,250,W0070,43,00548,,,,,SSAMP SAZTSAIDI  1   110990RW19 S37150720W0591349961920S37133281W0591333772258 10000500250W00704300548                     ,S,Simulation application continuation,SSAMP SAZTSAIDI  1   2S    U  Y                    18500N                              140                                 
S,USA,P,KBVY,K6,I,IBVY,0,11050,RW16,N42344969,W070543307,1570,,,0409,,,0600,,W0160,,,,,,,SUSAP KBVYK6IIBVY0   111050RW16 N42344969W0705433071570                   0409     0600   W0160                            ,S,Simulation application continuation,SUSAP KBVYK6IIBVY0   2S    U  U                    14100N                                                                  
S,USA,P,KCCY,K3,I,IIYY,0,10830,RW12,N43041197,W092361431,1250,,,0453,,,0000,,E0000,,,,,,,SUSAP KCCYK3IIIYY0   110830RW12 N43041197W0923614311250                   0453     0000   E0000                            ,S,Simulation application continuation,SUSAP KCCYK3IIIYY0   2S    U  N                    12500N                                                                  
S,USA,P,KNSI,K2,I,INSI,1,10970,RW30,N33145708,W119281336,3010,N33135838,W119265278,0055,,1003,0470,300,E0120,56,00498,,,,,SUSAP KNSIK2IINSI1   110970RW30 N33145708W1192813363010N33135838W1192652780055 10030470300E01205600498                     ,S,Simulation application continuation,SUSAP KNSIK2IINSI1   2S    U  N                    31300N                              140                                 
S,USA,P,KSPS,K4,I,ISHP,1,11050,RW15C,N33583795,W098285962,1530,N34001291,W098294190,1382,,1151,0353,300,E0050,51,00994,,,,,SUSAP KSPSK4IISHP1   111050RW15CN33583795W0982859621530N34001291W0982941901382 11510353300E00505100994                     ,S,Simulation application continuation,SUSAP KSPSK4IISHP1   2S    U  N                    15800N                              140                                 
S,USA,P,KSTL,K3,I,IJAK,1,11030,RW06,N38452728,W090211482,0640,N38445458,W090224013,1086,,1165,0461,300,W0010,50,00538,,,,,SUSAP KSTLK3IIJAK1   111030RW06 N38452728W0902114820640N38445458W0902240131086 11650461300W00105000538                     ,S,Simulation application continuation,SUSAP KSTLK3IIJAK1   2S    U  U                    06300N                              140                                 
