record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,P,UZTP,UT,I,IIS,2,11150,RW08,N41185786,E069252438,0760,N41183551,E069223476,0963,,0912,0000,300,E0060,50,01583,,,,,SEEUP UZTPUTIIIS 2   111150RW08 N41185786E0692524380760N41183551E0692234760963 09120000300E00605001583                     ,S,Simulation application continuation,SEEUP UZTPUTIIIS 2   2S    U  N                    08200N                              140                                 
S,EEU,P,UZTP,UT,I,IRZ,2,10910,RW26,N41183664,E069220907,2560,N41185106,E069245837,0976,,1093,0000,300,E0060,50,01583,,,,,SEEUP UZTPUTIIRZ 2   110910RW26 N41183664E0692209072560N41185106E0692458370976 10930000300E00605001583                     ,S,Simulation application continuation,SEEUP UZTPUTIIRZ 2   2S    U  N                    26200N                              140                                 
S,EEU,P,UZTT,UT,I,IFD,1,10850,RW26R,N41151960,E069151380,2560,N41153260,E069174590,0926,,1519,0000,300,E0060,57,01400,,,,,SEEUP UZTTUTIIFD 1   110850RW26RN41151960E0691513802560N41153260E0691745900926 15190000300E00605701400                     ,S,Simulation application continuation,SEEUP UZTTUTIIFD 1   2S    U  N                    26200N                              140                                 
S,EEU,P,UZTT,UT,I,ING,2,11050,RW08L,N41154160,E069183330,0760,N41151980,E069155090,1346,,1033,0000,300,E0060,57,01400,,,,,SEEUP UZTTUTIING 2   111050RW08LN41154160E0691833300760N41151980E0691550901346 10330000300E00605701400                     ,S,Simulation application continuation,SEEUP UZTTUTIING 2   2S    U  N                    08200N                              140                                 
S,EEU,P,UZTT,UT,I,IZW,1,11170,RW08R,N41153370,E069182390,0760,N41151320,E069155080,0671,,0971,0000,300,E0060,51,01400,,,,,SEEUP UZTTUTIIZW 1   111170RW08RN41153370E0691823900760N41151320E0691550800671 09710000300E00605101400                     ,S,Simulation application continuation,SEEUP UZTTUTIIZW 1   2S    U  N                    08200N                              140                                 
S,EEU,P,ZBER,ZB,I,IER,1,10850,RW30,N43254690,E112041240,2970,N43251241,E112060539,0919,,1076,0000,300,W0070,49,03310,,,,,SEEUP ZBERZBIIER 1   110850RW30 N43254690E1120412402970N43251241E1120605390919 10760000300W00704903310                     ,S,Simulation application continuation,SEEUP ZBERZBIIER 1   2S    U  N                    29000N                              140                                 
S,EEU,P,ZGZJ,ZG,I,IWC,1,10955,RW15,N21280740,E110361100,1520,N21293930,E110351880,1050,,1053,0000,300,W0020,52,00089,,,,,SEEUP ZGZJZGIIWC 1   110955RW15 N21280740E1103611001520N21293930E1103518801050 10530000300W00205200089                     ,S,Simulation application continuation,SEEUP ZGZJZGIIWC 1   2S    U  N                    15000N                              140                                 
S,EEU,P,ZGZJ,ZG,I,IZU,1,10955,RW33,N21295530,E110350400,3320,N21282680,E110360380,1050,,0994,0000,300,W0020,54,00082,,,,,SEEUP ZGZJZGIIZU 1   110955RW33 N21295530E1103504003320N21282680E1103603801050 09940000300W00205400082                     ,S,Simulation application continuation,SEEUP ZGZJZGIIZU 1   2S    U  N                    33000N                              140                                 
S,EEU,P,ZHES,ZH,I,IGG,1,11030,RW01,N30200683,E109291616,0120,N30185040,E109290700,0820,,0974,0000,320,W0030,52,01637,,,,,SEEUP ZHESZHIIGG 1   111030RW01 N30200683E1092916160120N30185040E1092907000820 09740000320W00305201637                     ,S,Simulation application continuation,SEEUP ZHESZHIIGG 1   2S    U  N                    00900Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IMU,1,10930,RW26L,N43550679,E087265019,2510,N43554313,E087292292,1033,,1083,0000,300,E0030,49,02106,,,,,SEEUP ZWWWZWIIMU 1   110930RW26LN43550679E0872650192510N43554313E0872922921033 10830000300E00304902106                     ,S,Simulation application continuation,SEEUP ZWWWZWIIMU 1   2S    U  N                    25358Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IQD,1,10955,RW08L,N43555719,E087294743,0710,N43553185,E087272892,1033,,1083,0000,300,E0030,49,02103,,,,,SEEUP ZWWWZWIIQD 1   110955RW08LN43555719E0872947430710N43553185E0872728921033 10830000300E00304902103                     ,S,Simulation application continuation,SEEUP ZWWWZWIIQD 1   2S    U  N                    07358Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IUR,1,11110,RW26R,N43552229,E087270264,2510,N43555503,E087291819,1033,,1083,0000,300,E0030,49,02103,,,,,SEEUP ZWWWZWIIUR 1   111110RW26RN43552229E0872702642510N43555503E0872918191033 10830000300E00304902103                     ,S,Simulation application continuation,SEEUP ZWWWZWIIUR 1   2S    U  N                    25358Y                              140                                 
S,EEU,P,ZWWW,ZW,I,IWQ,1,11050,RW08R,N43554521,E087295219,0710,N43551638,E087271639,1033,,1079,0000,300,E0030,49,02106,,,,,SEEUP ZWWWZWIIWQ 1   111050RW08RN43554521E0872952190710N43551638E0872716391033 10790000300E00304902106                     ,S,Simulation application continuation,SEEUP ZWWWZWIIWQ 1   2S    U  N                    07358Y                              140                                 
S,EUR,P,ESKN,ES,I,EKN,3,11190,RW26,N58471130,E016523910,2580,N58472600,E016552830,0541,,0951,0000,300,E0050,54,00128,,,,,SEURP ESKNESIEKN 3   111190RW26 N58471130E0165239102580N58472600E0165528300541 09510000300E00505400128                     ,S,Simulation application continuation,SEURP ESKNESIEKN 3   2S    U  N                    26300N                              140                                 
S,MES,P,LTAC,LT,I,IAEG,2,11075,RW21L,N40055230,E032591450,2100,N40072820,E033005250,1125,,1094,0000,300,E0060,50,03158,,,,,SMESP LTACLTIIAEG2   111075RW21LN40055230E0325914502100N40072820E0330052501125 10940000300E00605003158                     ,S,Simulation application continuation,SMESP LTACLTIIAEG2   2S    U  U                    21600N                              140                                 
S,MES,P,LTAC,LT,I,IAES,2,11090,RW03R,N40074840,E033010520,0300,N40060680,E032593470,1131,,0972,0000,300,E0060,50,03110,,,,,SMESP LTACLTIIAES2   111090RW03RN40074840E0330105200300N40060680E0325934701131 09720000300E00605003110                     ,S,Simulation application continuation,SMESP LTACLTIIAES2   2S    U  U                    03600N                              140                                 
S,MES,P,LTCA,LT,I,IELZ,1,11090,RW07R,N38360570,E039180610,0700,N38353810,E039160470,1036,,0851,0000,350,E0060,55,02940,,,,,SMESP LTCALTIIELZ1   111090RW07RN38360570E0391806100700N38353810E0391604701036 08510000350E00605502940                     ,S,Simulation application continuation,SMESP LTCALTIIELZ1   2S    U  U                    07600N                              140                                 
S,MES,P,LTFO,LT,I,IRAT,1,10855,RW24,N41102850,E040494420,2440,N41110400,E040514410,0881,,0911,0000,350,E0070,55,00033,,,,,SMESP LTFOLTIIRAT1   110855RW24 N41102850E0404944202440N41110400E0405144100881 09110000350E00705500033                     ,S,Simulation application continuation,SMESP LTFOLTIIRAT1   2S    U  U                    25100N                              140                                 
S,MES,P,OESD,OE,I,IKSB,1,10870,RW31,N27544880,E045304000,3070,N27532840,E045322120,1183,,1033,0000,300,E0030,53,01341,,,,,SMESP OESDOEIIKSB1   110870RW31 N27544880E0453040003070N27532840E0453221201183 10330000300E00305301341                     ,S,Simulation application continuation,SMESP OESDOEIIKSB1   2S    U  N                    31000Y                              140                                 
S,MES,P,OESN,OE,I,ISND,1,11195,RW02R,N24291800,E046400290,0220,N24273720,E046390680,0947,,1033,0000,300,E0030,50,02500,,,,,SMESP OESNOEIISND1   111195RW02RN24291800E0464002900220N24273720E0463906800947 10330000300E00305002500                     ,S,Simulation application continuation,SMESP OESNOEIISND1   2S    U  U                    02500N                              140                                 
S,MES,P,OESN,OE,I,KSND,1,11110,RW02L,N24290370,E046390960,0220,N24273100,E046381760,1013,,0972,0000,300,E0030,50,02500,,,,,SMESP OESNOEIKSND1   111110RW02LN24290370E0463909600220N24273100E0463817601013 09720000300E00305002500                     ,S,Simulation application continuation,SMESP OESNOEIKSND1   2S    U  U                    02500N                              140                                 
S,MES,P,OOMS,OO,I,IML,2,10890,RW08L,N23363357,E058180226,0830,N23362623,E058154006,1210,,1094,0000,300,E0020,55,00026,,,,,SMESP OOMSOOIIML 2   110890RW08LN23363357E0581802260830N23362623E0581540061210 10940000300E00205500026                     ,S,Simulation application continuation,SMESP OOMSOOIIML 2   2S    U  N                    08500Y                              140                                 
S,MES,P,OOMS,OO,I,IMR,2,11070,RW26R,N23361916,E058150283,2630,N23363520,E058173171,2409,,1094,0000,300,E0020,57,00020,,,,,SMESP OOMSOOIIMR 2   111070RW26RN23361916E0581502832630N23363520E0581731712409 10940000300E00205700020                     ,S,Simulation application continuation,SMESP OOMSOOIIMR 2   2S    U  N                    26500Y                              140                                 
S,MES,P,OOSA,OO,I,ISE,2,11090,RW25,N17015838,E054035510,2500,N17023931,E054060999,1640,,1033,0000,300,E0010,55,00088,,,,,SMESP OOSAOOIISE 2   111090RW25 N17015838E0540355102500N17023931E0540609991640 10330000300E00105500088                     ,S,Simulation application continuation,SMESP OOSAOOIISE 2   2S    U  N                    25100N                              140                                 
S,MES,P,OOSA,OO,I,ISW,2,10870,RW07,N17025092,E054063176,0700,N17020325,E054042244,1344,,1033,0000,300,E0010,54,00073,,,,,SMESP OOSAOOIISW 2   110870RW07 N17025092E0540631760700N17020325E0540422441344 10330000300E00105400073                     ,S,Simulation application continuation,SMESP OOSAOOIISW 2   2S    U  N                    07100N                              140                                 
S,MES,P,VABP,VA,I,IBPH,2,10990,RW30,N23174670,E077185230,2980,N23170010,E077201930,1349,,0971,0000,300,W0000,55,01733,,,,,SMESP VABPVAIIBPH2   110990RW30 N23174670E0771852302980N23170010E0772019301349 09710000300W00005501733                     ,S,Simulation application continuation,SMESP VABPVAIIBPH2   2S    U  N                    29800N                              140                                 
S,MES,P,VAGD,VA,I,IGON,1,10830,RW04,N21322290,E080181340,0450,N21312980,E080171260,0982,,1155,0000,300,W0010,54,01006,,,,,SMESP VAGDVAIIGON1   110830RW04 N21322290E0801813400450N21312980E0801712600982 11550000300W00105401006                     ,S,Simulation application continuation,SMESP VAGDVAIIGON1   2S    U  N                    04400N                              140                                 
S,MES,P,VANM,VA,I,INMB,2,10890,RW26,N18585533,E073024223,2630,N18590462,E073042645,1000,,1155,0000,300,W0010,55,00045,,,,,SMESP VANMVAIINMB2   110890RW26 N18585533E0730242232630N18590462E0730426451000 11550000300W00105500045                     ,S,Simulation application continuation,SMESP VANMVAIINMB2   2S    U  N                    26200N                              140                                 
S,MES,P,VANM,VA,I,INVM,1,10930,RW08,N18591481,E073051503,0830,N18585417,E073030447,1657,,1093,0000,300,W0010,54,00053,,,,,SMESP VANMVAIINVM1   110930RW08 N18591481E0730515030830N18585417E0730304471657 10930000300W00105400053                     ,S,Simulation application continuation,SMESP VANMVAIINVM1   2S    U  N                    08200N                              140                                 
S,MES,P,VERP,VE,I,IRAI,2,11030,RW24,N21102750,E081434060,2400,N21111840,E081451910,1082,,1093,0000,300,W0010,55,01047,,,,,SMESP VERPVEIIRAI2   111030RW24 N21102750E0814340602400N21111840E0814519101082 10930000300W00105501047                     ,S,Simulation application continuation,SMESP VERPVEIIRAI2   2S    U  N                    23900N                              140                                 
S,MES,P,VGHS,VG,I,IDA,2,10950,RW14,N23494000,E090243650,1440,N23511270,E090232860,1745,,0972,0000,300,W0010,51,00050,,,,,SMESP VGHSVGIIDA 2   110950RW14 N23494000E0902436501440N23511270E0902328601745 09720000300W00105100050                     ,S,Simulation application continuation,SMESP VGHSVGIIDA 2   2S    U  N                    14300N                              140                                 
S,MES,P,VIND,VI,I,IJIA,1,10830,RW10,N28103183,E077380833,1010,N28110209,E077354623,1430,,1155,0000,300,E0010,54,00672,,,,,SMESP VINDVIIIJIA1   110830RW10 N28103183E0773808331010N28110209E0773546231430 11550000300E00105400672                     ,S,Simulation application continuation,SMESP VINDVIIIJIA1   2S    U  N                    10200N                              140                                 
S,MES,P,VIND,VI,I,IJWR,1,10930,RW28,N28110398,E077351373,2810,N28104101,E077374071,1742,,1155,0000,300,E0010,54,00668,,,,,SMESP VINDVIIIJWR1   110930RW28 N28110398E0773513732810N28104101E0773740711742 11550000300E00105400668                     ,S,Simulation application continuation,SMESP VINDVIIIJWR1   2S    U  N                    28200N                              140                                 
S,PAC,P,RJCC,RJ,I,ICS,1,11150,RW19R,N42453849,E141412608,1850,N42470831,E141412450,0695,-,1073,0500,300,W0100,54,00082,,,,,SPACP RJCCRJIICS 1   111150RW19RN42453849E1414126081850N42470831E1414124500695-10730500300W01005400082                     ,S,Simulation application continuation,SPACP RJCCRJIICS 1   2S    U  U                    17500N                              140                                 
S,PAC,P,VDTI,VD,I,IKTA,2,10875,RW05,N11222700,E104561280,0480,N11210140,E104543250,1035,,0979,0000,300,W0010,53,00058,,,,,SPACP VDTIVDIIKTA2   110875RW05 N11222700E1045612800480N11210140E1045432501035 09790000300W00105300058                     ,S,Simulation application continuation,SPACP VDTIVDIIKTA2   2S    U  U                    04700N                              140                                 
S,PAC,P,VDTI,VD,I,IKTI,2,11010,RW23,N11204500,E104542030,2280,N11221650,E104555520,1034,,0970,0000,300,W0010,51,00058,,,,,SPACP VDTIVDIIKTI2   111010RW23 N11204500E1045420302280N11221650E1045555201034 09700000300W00105100058                     ,S,Simulation application continuation,SPACP VDTIVDIIKTI2   2S    U  U                    22700N                              140                                 
S,PAC,P,VLBK,VL,I,IBOK,1,11090,RW21,N20184320,E100092900,2110,N20195020,E100101490,0922,,1087,0000,300,W0010,50,01234,,,,,SPACP VLBKVLIIBOK1   111090RW21 N20184320E1000929002110N20195020E1001014900922 10870000300W00105001234                     ,S,Simulation application continuation,SPACP VLBKVLIIBOK1   2S    U  U                    21000N                              140                                 
S,PAC,P,VTBL,VT,I,ILOB,1,10830,RW05,N14524656,E100400778,0470,N14521364,E100393770,0984,,0984,0000,300,W0010,50,00106,,,,,SPACP VTBLVTIILOB1   110830RW05 N14524656E1004007780470N14521364E1003937700984 09840000300W00105000106                     ,S,Simulation application continuation,SPACP VTBLVTIILOB1   2S    U  U                    04600N                              140                                 
S,SAM,P,SLCB,SL,I,ILCO,1,11050,RW32,S17243059,W066113025,3230,S17254400,W066101000,0284,,1047,0000,310,W0110,49,08352,,,,,SSAMP SLCBSLIILCO1   111050RW32 S17243059W0661130253230S17254400W0661010000284 10470000310W01104908352                     ,S,Simulation application continuation,SSAMP SLCBSLIILCO1   2S    U  U                    31200N                              140                                 
S,USA,P,KLMT,K1,I,ILZO,1,10950,RW14,N42082543,W121432979,1440,N42100148,W121441727,1005,,0949,0000,320,E0140,53,04087,,,,,SUSAP KLMTK1IILZO1   110950RW14 N42082543W1214329791440N42100148W1214417271005 09490000320E01405304087                     ,S,Simulation application continuation,SUSAP KLMTK1IILZO1   2S    U  U                    15800N                              140                                 
S,USA,P,KNTD,K2,I,INTD,1,10930,RW03,N34075755,W119062369,0320,N34063463,W119075441,1105,-,0878,0328,300,E0120,46,00006,,,,,SUSAP KNTDK2IINTD1   110930RW03 N34075755W1190623690320N34063463W1190754411105-08780328300E01204600006                     ,S,Simulation application continuation,SUSAP KNTDK2IINTD1   2S    U  N                    04400N                              140                                 
S,USA,P,KSTL,K3,I,IJAK,0,11030,RW06,N38452728,W090211482,0640,,,1086,,,0461,,W0010,,,,,,,SUSAP KSTLK3IIJAK0   111030RW06 N38452728W0902114820640                   1086     0461   W0010                            ,S,Simulation application continuation,SUSAP KSTLK3IIJAK0   2S    U  U                    06300N                                                                  
