record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,EUR,D,,,,,EPR,LF,11565,VDHW,N48373250,E001392360,,N48373250,E001392360,E0010,00604,2,,302,WGE,EPERNON,SEURD        EPR   LF111565VDHW N48373250E001392360    N48373250E001392360E0010006042  302WGEEPERNON                       ,S,Simulation application continuation,SEURD        EPR   LF2S    UU                                             E0017                                            ,1,cont#2_1_123
S,EUR,D,,,,,ERB,EN,11625,DL,,,ERB,N60165694,E011325093,,01446,1,,484,WGE,ERTSRUDBERGET,SEURD        ERB   EN111625 DL                     ERB N60165694E011325093     014461  484WGEERTSRUDBERGET                 ,S,Simulation application continuation,SEURD        ERB   EN2S    UN                                             E0053                                            ,1,cont#2_1_123
S,EUR,D,,,,,ERL,ED,11490,DH,,,ERL,N49391949,E011090292,,01830,2,,279,WGE,ERLANGEN,SEURD        ERL   ED111490 DH                     ERL N49391949E011090292     018302  279WGEERLANGEN                      ,S,Simulation application continuation,SEURD        ERL   ED2S    UN                                             E0042                                            ,6,"navaid_class,vor_latitude,vor_longitude,dme_ident,station_declination,primary_1_123"
S,EUR,D,,,,,ESE,EK,11660,DH,,,ESE,N55312100,E008333100,,00054,2,,372,WGE,ESEBO,SEURD        ESE   EK111660 DH                     ESE N55312100E008333100     000542  372WGEESEBO                         ,S,Simulation application continuation,SEURD        ESE   EK2S    UN                                             E0038                                            ,1,cont#2_1_123
S,EUR,D,,,,,ESP,LP,11250,VDHW,N38252690,W009110840,,N38252690,W009110840,W0020,00591,2,,294,WGE,ESPICHEL,SEURD        ESP   LP111250VDHW N38252690W009110840    N38252690W009110840W0020005912  294WGEESPICHEL                      ,S,Simulation application continuation,SEURD        ESP   LP2S    UN                                             W001100591                                       ,1,cont#2_1_123
S,EUR,D,,,,,EVD,EN,11735,VDHW,N68272630,E016405417,,N68272630,E016405417,E0080,00155,2,,,WGE,EVENES,SEURD        EVD   EN111735VDHW N68272630E016405417    N68272630E016405417E0080001552     WGEEVENES                        ,S,Simulation application continuation,SEURD        EVD   EN2S    UN                                             E009300155                                       ,1,cont#2_1_123
S,EUR,D,,,,,EVS,EN,13400,MH,,,EVS,N68292864,E016403023,E0080,00103,2,,,WGE,EVENES,SEURD        EVS   EN113400 MH                     EVS N68292864E016403023E0080001032     WGEEVENES                        ,S,Simulation application continuation,SEURD        EVS   EN2S    UU                                             E0094                                            ,1,cont#2_1_123
S,EUR,D,,,,,EVX,LF,11240,TH,,,EVX,N49014270,E001125060,E0010,00503,2,,322,WGE,EVREUX FAUVILLE,SEURD        EVX   LF111240 TH                     EVX N49014270E001125060E0010005032  322WGEEVREUX FAUVILLE               ,S,Simulation application continuation,SEURD        EVX   LF2S    UN                                             E0016                                            ,6,"navaid_class,vor_latitude,vor_longitude,dme_ident,primary_1_123,cont#2_1_123"
S,EUR,D,,,,,FAR,LP,11120,DL,,,FAR,N37003170,W007553290,,00100,1,,,WGE,FARO,SEURD        FAR   LP111120 DL                     FAR N37003170W007553290     001001     WGEFARO                          ,S,Simulation application continuation,SEURD        FAR   LP2S    UN                                             W0007                                            ,1,cont#2_1_123
S,EUR,D,,,,,FEN,ES,11535,DH,,,FEN,N58550090,E012174860,,00608,2,,217,WGE,FENGERSFORS,SEURD        FEN   ES111535 DH                     FEN N58550090E012174860     006082  217WGEFENGERSFORS                   ,S,Simulation application continuation,SEURD        FEN   ES2S    UN                                             E0054                                            ,1,cont#2_1_123
S,EUR,D,,,,,FFA,EG,11340,TH,,,FFA,N51405407,W001475140,W0020,00272,2,,382,WGE,FAIRFORD,SEURD        FFA   EG111340 TH                     FFA N51405407W001475140W0020002722  382WGEFAIRFORD                      ,S,Simulation application continuation,SEURD        FFA   EG2S    UN                                             E0004                                            ,1,cont#2_1_123
S,EUR,D,,,,,FGI,LF,11670,VDTW,N41300790,E009050030,,N41300790,E009050030,E0030,00144,0,,314,WGE,FIGARI,SEURD        FGI   LF111670VDTW N41300790E009050030    N41300790E009050030E0030001440  314WGEFIGARI                        ,S,Simulation application continuation,SEURD        FGI   LF2S    UU                                             E003400144                                       ,1,cont#2_1_123
S,EUR,D,,,,,FHH,ED,11735,DL,,,FHH,N49562995,E007153817,,01668,1,,247,WGE,HAHN,SEURD        FHH   ED111735 DL                     FHH N49562995E007153817     016681  247WGEHAHN                          ,S,Simulation application continuation,SEURD        FHH   ED2S    UU                                             E0033                                            ,1,cont#2_1_123
S,EUR,D,,,,,FJR,LF,11445,VDHW,N43344210,E003582900,,N43344210,E003582900,E0020,00007,2,,382,WGE,MONTPELLIER MEDITERRANEE,SEURD        FJR   LF111445VDHW N43344210E003582900    N43344210E003582900E0020000072  382WGEMONTPELLIER MEDITERRANEE      ,S,Simulation application continuation,SEURD        FJR   LF2S    UU                                             E0024                                            ,1,cont#2_1_123
S,EUR,D,,,,,FKS,ED,11750,VDHW,N49472750,E008323250,,N49472750,E008323250,E0020,00344,2,,309,WGE,FRANKENSTEIN,SEURD        FKS   ED111750VDHW N49472750E008323250    N49472750E008323250E0020003442  309WGEFRANKENSTEIN                  ,S,Simulation application continuation,SEURD        FKS   ED2S    UN                                             E003600344                                       ,1,cont#2_1_123
S,EUR,D,,,,,FLD,ED,11715,VDHW,N53454585,E013334729,,N53454585,E013334729,E0030,00121,2,,335,WGE,FRIEDLAND,SEURD        FLD   ED111715VDHW N53454585E013334729    N53454585E013334729E0030001212  335WGEFRIEDLAND                     ,S,Simulation application continuation,SEURD        FLD   ED2S    UN                                             E0052                                            ,1,cont#2_1_123
S,EUR,D,,,,,FLE,EN,11450,TH,,,FLE,N60180000,E005124896,E0010,00193,2,,559,WGE,FLESLAND,SEURD        FLE   EN111450 TH                     FLE N60180000E005124896E0010001932  559WGEFLESLAND                      ,S,Simulation application continuation,SEURD        FLE   EN2S    UN                                             E0026                                            ,1,cont#2_1_123
S,EUR,D,,,,,FLO,EB,11205,VDHA,N50523600,E005080430,,N50523600,E005080430,E0020,00100,2,,220,WGE,FLORA,SEURD        FLO   EB111205VDHA N50523600E005080430    N50523600E005080430E0020001002  220WGEFLORA                         ,S,Simulation application continuation,SEURD        FLO   EB2S    UN                                             E0027                                            ,1,cont#2_1_123
S,EUR,D,,,,,FLO,EN,11230,VDHW,N61345362,E005011266,,N61345362,E005011266,E0010,00069,2,,,WGE,FLORO,SEURD        FLO   EN111230VDHW N61345362E005011266    N61345362E005011266E0010000692     WGEFLORO                         ,S,Simulation application continuation,SEURD        FLO   EN2S    UU                                             E002600069                                       ,3,"frequency_protection,primary_1_123,cont#2_1_123"
S,EUR,D,,,,,FLS,EN,11555,VDHW,N60184054,E005124390,,N60184054,E005124390,E0010,00213,2,,445,WGE,FLESLAND,SEURD        FLS   EN111555VDHW N60184054E005124390    N60184054E005124390E0010002132  445WGEFLESLAND                      ,S,Simulation application continuation,SEURD        FLS   EN2S    UN                                             E002600213                                       ,1,cont#2_1_123
S,EUR,D,,,,,FMD,LO,11040,VDHW,N48061841,E016374535,,N48061841,E016374535,E0050,00639,2,,508,WGE,FISCHAMEND,SEURD        FMD   LO111040VDHW N48061841E016374535    N48061841E016374535E0050006392  508WGEFISCHAMEND                    ,S,Simulation application continuation,SEURD        FMD   LO2S    UN                                             E005300639                                       ,1,cont#2_1_123
S,EUR,D,,,,,FRD,ED,11590,DL,,,FRD,N50015668,E008322100,,00440,1,,135,WGE,FRED,SEURD        FRD   ED111590 DL                     FRD N50015668E008322100     004401  135WGEFRED                          ,S,Simulation application continuation,SEURD        FRD   ED2S    UN                                             E0036                                            ,5,"dme_latitude,dme_longitude,frequency_protection,primary_1_123,cont#2_1_123"
S,EUR,D,,,,,FRL,ES,11650,DH,,,FRL,N61490560,E015504510,,01233,2,,,WGE,FARILA,SEURD        FRL   ES111650 DH                     FRL N61490560E015504510     012332     WGEFARILA                        ,S,Simulation application continuation,SEURD        FRL   ES2S    UU                                             E0073                                            ,1,cont#2_1_123
S,EUR,D,,,,,FRO,EH,11140,DH,,,FRO,N52270900,E005302900,,00001,2,,322,WGE,LELYSTAD,SEURD        FRO   EH111140 DH                     FRO N52270900E005302900     000012  322WGELELYSTAD                      ,S,Simulation application continuation,SEURD        FRO   EH2S    UN                                             E0028                                            ,1,cont#2_1_123
S,EUR,D,,,,,FRS,LI,11560,VDHW,N41383310,E013173250,,N41383330,E013173200,E0030,00620,2,,411,WGE,FROSINONE,SEURD        FRS   LI111560VDHW N41383310E013173250    N41383330E013173200E0030006202  411WGEFROSINONE                     ,S,Simulation application continuation,SEURD        FRS   LI2S    UN                                             E004100620                                       ,1,cont#2_1_123
S,EUR,D,,,,,FRS,LP,11330,VDHW,N39271290,W031123750,,N39271290,W031123760,W0130,02800,2,,,WGE,FLORES,SEURD        FRS   LP111330VDHW N39271290W031123750    N39271290W031123760W0130028002     WGEFLORES                        ,S,Simulation application continuation,SEURD        FRS   LP2S    UN                                             W0090                                            ,1,cont#2_1_123
