record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,P,G,UTFF,RW18,09390,1780,N40221648,E071444424,+1360,01924,0000,51,164,IZU,,SEEUP UTFFUTGRW18    1093901780 N40221648E071444424+1360          01924000051164 IZU  0184                                 ,S,Simulation application continuation,SEEUP UTFFUTGRW18    2S                            18325Y        L01924                                                    
S,EEU,P,G,UTFF,RW36,09390,3580,N40204386,E071443737,-1360,02052,0000,50,164,,,SEEUP UTFFUTGRW36    1093903580 N40204386E071443737-1360          02052000050164      0164                                 ,S,Simulation application continuation,SEEUP UTFFUTGRW36    2S                            00325Y        L02052                                                    
S,EEU,P,G,UTFN,RW10,10745,1030,N40592243,E071321821,-1570,01703,0000,50,148,,,SEEUP UTFNUTGRW10    1107451030 N40592243E071321821-1570          01703000050148      0197                                 ,S,Simulation application continuation,SEEUP UTFNUTGRW10    2S                            10854Y        L01703                                                    
S,EEU,P,G,UTFN,RW28,10745,2830,N40584865,E071343102,+1570,01534,0000,52,148,ISA,,SEEUP UTFNUTGRW28    1107452830 N40584865E071343102+1570          01534000052148 ISA  0197                                 ,S,Simulation application continuation,SEEUP UTFNUTGRW28    2S                            28857Y        L01534                                                    
S,EEU,P,G,UTNN,RW15,09865,1480,N42300514,E059365358,,00247,0000,50,148,,,SEEUP UTNNUTGRW15    1098651480 N42300514E059365358               00247000050148      0000                                 ,S,Simulation application continuation,SEEUP UTNNUTGRW15    2S                            15454Y        L00247                                                    
S,EEU,P,G,UTNN,RW33,09865,3280,N42283718,E059375016,+0020,00245,0000,56,148,IZR,,SEEUP UTNNUTGRW33    1098653280 N42283718E059375016+0020          00245000056148 IZR  0000                                 ,S,Simulation application continuation,SEEUP UTNNUTGRW33    2S                            33455Y        L00245                                                    
S,EEU,P,G,UTNU,RW13,09843,1330,N41353440,E060375481,,00320,0000,50,164,,,SEEUP UTNUUTGRW13    1098431330 N41353440E060375481               00320000050164      0164                                 ,S,Simulation application continuation,SEEUP UTNUUTGRW13    2S                            13952Y        L00320                                                    
S,EEU,P,G,UTNU,RW31,09843,3130,N41342042,E060391887,+0010,00319,0000,54,164,INU,,SEEUP UTNUUTGRW31    1098433130 N41342042E060391887+0010          00319000054164 INU  0164                                 ,S,Simulation application continuation,SEEUP UTNUUTGRW31    2S                            31954Y        L00319                                                    
S,EEU,P,G,UTSA,RW07,13123,0720,N40064833,E065085399,+0170,01118,0000,57,148,IHG,,SEEUP UTSAUTGRW07    1131230720 N40064833E065085399+0170          01118000057148 IHG  0246                                 ,S,Simulation application continuation,SEEUP UTSAUTGRW07    2S                            07742Y        L01118                                                    
S,EEU,P,G,UTSA,RW25,13123,2520,N40071654,E065113889,,01140,0000,58,148,INL,,SEEUP UTSAUTGRW25    1131232520 N40071654E065113889               01140000058148 INL  0246                                 ,S,Simulation application continuation,SEEUP UTSAUTGRW25    2S                            25745Y        L01140                                                    
S,EEU,P,G,UTSB,RW01,09843,0050,N39454312,E064284504,+0130,00738,0000,54,148,IUH,,SEEUP UTSBUTGRW01    1098430050 N39454312E064284504+0130          00738000054148 IUH  0177                                 ,S,Simulation application continuation,SEEUP UTSBUTGRW01    2S                            01018Y        L00738                                                    
S,EEU,P,G,UTSB,RW19,09843,1850,N39471890,E064290733,-0130,00751,0000,50,148,,,SEEUP UTSBUTGRW19    1098431850 N39471890E064290733-0130          00751000050148      0177                                 ,S,Simulation application continuation,SEEUP UTSBUTGRW19    2S                            19018Y        L00751                                                    
S,EEU,P,G,UTSK,RW16,09268,1590,N38485234,E065460716,,01229,0000,56,148,IJP,,SEEUP UTSKUTGRW16    1092681590 N38485234E065460716               01229000056148 IJP  0000                                 ,S,Simulation application continuation,SEEUP UTSKUTGRW16    2S                            16392Y        L01229                                                    
S,EEU,P,G,UTSK,RW34,09268,3390,N38472820,E065463816,+0100,01219,0410,50,148,,,SEEUP UTSKUTGRW34    1092683390 N38472820E065463816+0100          01219041050148      0000                                 ,S,Simulation application continuation,SEEUP UTSKUTGRW34    2S                            34392Y        L01219                                                    
S,EEU,P,G,UTSS,RW09,10187,0910,N39421095,E066575195,,02176,0000,53,148,IMZ,,SEEUP UTSSUTGRW09    1101870910 N39421095E066575195               02176000053148 IMZ  0197                                 ,S,Simulation application continuation,SEEUP UTSSUTGRW09    2S                            09569Y        L02176                                                    
S,EEU,P,G,UTSS,RW27,10187,2710,N39420133,E066595662,,02221,0394,51,148,ISD,,SEEUP UTSSUTGRW27    1101872710 N39420133E066595662               02221039451148 ISD  0197                                 ,S,Simulation application continuation,SEEUP UTSSUTGRW27    2S                            27572Y        L02221                                                    
S,EEU,P,G,UTST,RW07,09843,0700,N37170167,E067173050,+0140,01014,0000,49,148,,,SEEUP UTSTUTGRW07    1098430700 N37170167E067173050+0140          01014000049148      0197                                 ,S,Simulation application continuation,SEEUP UTSTUTGRW07    2S                            07415Y        L01014                                                    
S,EEU,P,G,UTST,RW25,09843,2500,N37172823,E067192764,,01028,0000,50,148,INO,,SEEUP UTSTUTGRW25    1098432500 N37172823E067192764               01028000050148 INO  0197                                 ,S,Simulation application continuation,SEEUP UTSTUTGRW25    2S                            25417Y        L01028                                                    
S,EEU,P,G,UTTC,RW08,08097,0750,N41305416,E069333939,+1000,02287,0000,50,105,,,SEEUP UTTCUTGRW08    1080970750 N41305416E069333939+1000          02287000050105      0164                                 ,S,Simulation application continuation,SEEUP UTTCUTGRW08    2S                            08007Y        L02287                                                    
S,EEU,P,G,UTTC,RW26,08097,2550,N41310794,E069352422,,02370,0000,50,105,,,SEEUP UTTCUTGRW26    1080972550 N41310794E069352422               02370000050105      0164                                 ,S,Simulation application continuation,SEEUP UTTCUTGRW26    2S                            26007Y        L02370                                                    
S,EEU,P,G,UTTT,RW08L,13123,0760,N41152213,E069153642,+0400,01369,0820,57,197,ING,,SEEUP UTTTUTGRW08L   1131230760 N41152213E069153642+0400          01369082057197 ING  0000                                 ,S,Simulation application continuation,SEEUP UTTTUTGRW08L   2S                            08167Y        T01369                                                    
S,EEU,P,G,UTTT,RW08R,12812,0760,N41151540,E069153776,+0400,01369,0656,51,148,IZW,,SEEUP UTTTUTGRW08R   1128120760 N41151540E069153776+0400          01369065651148 IZW  0000                                 ,S,Simulation application continuation,SEEUP UTTTUTGRW08R   2S                            08166Y        L01369                                                    
S,EEU,P,G,UTTT,RW26L,12812,2560,N41153177,E069180650,-0400,01412,0673,50,148,,,SEEUP UTTTUTGRW26L   1128122560 N41153177E069180650-0400          01412067350148      0000                                 ,S,Simulation application continuation,SEEUP UTTTUTGRW26L   2S                            26168Y        L01412                                                    
S,EEU,P,G,UTTT,RW26R,13123,2560,N41153847,E069180509,-0400,01414,0820,57,197,IFD,,SEEUP UTTTUTGRW26R   1131232560 N41153847E069180509-0400          01414082057197 IFD  0000                                 ,S,Simulation application continuation,SEEUP UTTTUTGRW26R   2S                            26170Y        T01414                                                    
S,EEU,P,G,UUDD,RW14C,07776,1350,N55250100,E037545530,-0250,00544,0000,50,174,,,SEEUP UUDDUUGRW14C   1077761350 N55250100E037545530-0250          00544000050174      0000                                 ,S,Simulation application continuation,SEEUP UUDDUUGRW14C   2S                            14564Y        L00544                                                    
S,EEU,P,G,UUDD,RW14L,12467,1350,N55252826,E037544236,-0160,00543,0000,50,197,G14A,,SEEUP UUDDUUGRW14L   1124671350 N55252826E037544236-0160          00543000050197 G14A 0000                                 ,S,Simulation application continuation,SEEUP UUDDUUGRW14L   2S                            14564Y        L00543                                                    
S,EEU,P,G,UUDD,RW14R,11483,1350,N55251582,E037521972,-0540,00592,0000,50,197,IDM,,SEEUP UUDDUUGRW14R   1114831350 N55251582E037521972-0540          00592000050197 IDM  0000                                 ,S,Simulation application continuation,SEEUP UUDDUUGRW14R   2S                            14560Y        L00592                                                    
S,EEU,P,G,UUDD,RW32C,07776,3150,N55235773,E037561131,+0250,00524,0000,50,174,,,SEEUP UUDDUUGRW32C   1077763150 N55235773E037561131+0250          00524000050174      0000                                 ,S,Simulation application continuation,SEEUP UUDDUUGRW32C   2S                            32565Y        L00524                                                    
S,EEU,P,G,UUDD,RW32L,11483,3150,N55234243,E037541206,+0540,00531,0000,57,197,IDO,,SEEUP UUDDUUGRW32L   1114833150 N55234243E037541206+0540          00531000057197 IDO  0000                                 ,S,Simulation application continuation,SEEUP UUDDUUGRW32L   2S                            32563Y        L00531                                                    
S,EEU,P,G,UUDD,RW32R,12467,3150,N55234681,E037564422,+0160,00523,0000,50,197,G32A,,SEEUP UUDDUUGRW32R   1124673150 N55234681E037564422+0160          00523000050197 G32A 0000                                 ,S,Simulation application continuation,SEEUP UUDDUUGRW32R   2S                            32566Y        L00523                                                    
S,EEU,P,G,ZWWW,RW07,11811,0710,N43540913,E087270975,,02125,0000,49,148,IOY,,SEEUP ZWWWZWGRW07    1118110710 N43540913E087270975               02125000049148 IOY  0000                                 ,S,Simulation application continuation,SEEUP ZWWWZWGRW07    2S                            07358Y        L02125                                                    
S,EEU,P,G,ZWWW,RW25,11811,2510,N43544212,E087294451,,02126,0000,49,148,IRM,,SEEUP ZWWWZWGRW25    1118112510 N43544212E087294451               02126000049148 IRM  0000                                 ,S,Simulation application continuation,SEEUP ZWWWZWGRW25    2S                            25358Y        L02126                                                    
