record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,D,,,,,MID,EG,11400,VDH,N51031423,W000373001,,N51031423,W000373001,E0010,00233,2,,258,WGE,MIDHURST,SEURD        MID   EG111400VDH  N51031423W000373001    N51031423W000373001E0010002332  258WGEMIDHURST                      ,S,Simulation application continuation,SEURD        MID   EG2S    UN                                             E000900233                                       
S,EUR,D,,,,,MIL,LG,11350,VDHW,N36445103,E024311004,,N36445103,E024311004,E0050,00654,2,,586,WGE,MILOS,SEURD        MIL   LG111350VDHW N36445103E024311004    N36445103E024311004E0050006542  586WGEMILOS                         ,S,Simulation application continuation,SEURD        MIL   LG2S    UN                                             E0050                                            
S,EUR,D,,,,,MJV,LE,11330,VDLW,N39260670,E002452990,,N39260670,E002452920,E0010,00492,1,,324,WGE,MALLORCA,SEURD        MJV   LE111330VDLW N39260670E002452990    N39260670E002452920E0010004921  324WGEMALLORCA                      ,S,Simulation application continuation,SEURD        MJV   LE2S    UN                                             E002000492                                       
S,EUR,D,,,,,MKN,LG,11000,VDHW,N37262493,E025204026,,N37262493,E025204026,E0050,00422,2,,234,WGE,MIKONOS,SEURD        MKN   LG111000VDHW N37262493E025204026    N37262493E025204026E0050004222  234WGEMIKONOS                       ,S,Simulation application continuation,SEURD        MKN   LG2S    UN                                             E0052                                            
S,EUR,D,,,,,MKR,LG,11080,VDHW,N40310741,E022581128,,N40310741,E022581128,E0050,00027,2,,193,WGE,MIKRA (THESSALONIKI),SEURD        MKR   LG111080VDHW N40310741E022581128    N40310741E022581128E0050000272  193WGEMIKRA (THESSALONIKI)          ,S,Simulation application continuation,SEURD        MKR   LG2S    UN                                             E0053                                            
S,EUR,D,,,,,MLA,LE,11210,VDHW,N41074650,E000095490,,N41074690,E000095620,E0010,01181,2,,458,WGE,MAELLA,SEURD        MLA   LE111210VDHW N41074650E000095490    N41074690E000095620E0010011812  458WGEMAELLA                        ,S,Simulation application continuation,SEURD        MLA   LE2S    UN                                             E0015                                            
S,EUR,D,,,,,MLD,EG,11590,TL,,,MLD,N52214803,E000291793,E0010,00020,1,,333,WGE,MILDENHALL,SEURD        MLD   EG111590 TL                     MLD N52214803E000291793E0010000201  333WGEMILDENHALL                    ,S,Simulation application continuation,SEURD        MLD   EG2S    UN                                             E0012                                            
S,EUR,D,,,,,MLG,LE,11355,VDHW,N36404350,W004302390,,N36404310,W004302440,W0010,00098,2,,384,WGE,MALAGA AEROPUERTO SUR,SEURD        MLG   LE111355VDHW N36404350W004302390    N36404310W004302440W0010000982  384WGEMALAGA AEROPUERTO SUR         ,S,Simulation application continuation,SEURD        MLG   LE2S    UN                                             E0003                                            
S,EUR,D,,,,,MLN,LF,11360,VDHW,N48272080,E002484780,,N48272080,E002484780,E0010,00342,2,,222,WGE,MELUN VILLAROCHE,SEURD        MLN   LF111360VDHW N48272080E002484780    N48272080E002484780E0010003422  222WGEMELUN VILLAROCHE              ,S,Simulation application continuation,SEURD        MLN   LF2S    UN                                             E002000342                                       
S,EUR,D,,,,,MLN,LG,10960,VDHW,N39032667,E026360196,,N39032667,E026360196,E0060,00035,2,,144,WGE,MITILINI,SEURD        MLN   LG110960VDHW N39032667E026360196    N39032667E026360196E0060000352  144WGEMITILINI                      ,S,Simulation application continuation,SEURD        MLN   LG2S    UN                                             E0055                                            
S,EUR,D,,,,,MMD,LF,10940,V HW,N49232850,E005072790,,,,E0010,,2,,,WGE,MONTMEDY,SEURD        MMD   LF110940V HW N49232850E005072790                       E0010     2     WGEMONTMEDY                      ,S,Simulation application continuation,SEURD        MMD   LF2S    UN                                             E0027                                            
S,EUR,D,,,,,MMP,LI,11335,VDL,N45382680,E008440540,,N45382710,E008440600,E0030,00764,1,,278,WGE,MALPENSA (MILAN),SEURD        MMP   LI111335VDL  N45382680E008440540    N45382710E008440600E0030007641  278WGEMALPENSA (MILAN)              ,S,Simulation application continuation,SEURD        MMP   LI2S    UU                                             E003500764                                       
S,EUR,D,,,,,MND,ED,11355,DT,,,MND,N49281430,E008305753,,00341,0,,465,WGE,MANNHEIM,SEURD        MND   ED111355 DT                     MND N49281430E008305753     003410  465WGEMANNHEIM                      ,S,Simulation application continuation,SEURD        MND   ED2S    UN                                             E0036                                            
S,EUR,D,,,,,MNL,LI,11525,TL,,,MNL,N41325150,E015412330,E0040,00217,1,,,WGE,AMENDOLA,SEURD        MNL   LI111525 TL                     MNL N41325150E015412330E0040002171     WGEAMENDOLA                      ,S,Simulation application continuation,SEURD        MNL   LI2S    UN                                             E0044                                            
S,EUR,D,,,,,MOB,BI,11480,TT,,,MOB,N65380798,W018040396,W0130,00007,0,,,WGE,MOB,SEURD        MOB   BI111480 TT                     MOB N65380798W018040396W0130000070     WGEMOB                           ,S,Simulation application continuation,SEURD        MOB   BI2S    UU                                             W0099                                            
S,EUR,D,,,,,MOD,ED,11405,DL,,,MOD,N52081669,E007411407,,00200,1,,263,WGE,MUENSTER/OSNABRUECK,SEURD        MOD   ED111405 DL                     MOD N52081669E007411407     002001  263WGEMUENSTER/OSNABRUECK           ,S,Simulation application continuation,SEURD        MOD   ED2S    UN                                             E0034                                            
S,EUR,D,,,,,MOJ,LP,11000,TH,,,MOJ,N38423160,W009020080,W0020,00100,2,,,WGE,MONTIJO,SEURD        MOJ   LP111000 TH                     MOJ N38423160W009020080W0020001002     WGEMONTIJO                       ,S,Simulation application continuation,SEURD        MOJ   LP2S    UN                                             W0010                                            
S,EUR,D,,,,,MOS,EN,11390,TH,,,MOS,N65523964,E013183073,E0060,02109,2,,,WGE,MOSJOEN,SEURD        MOS   EN111390 TH                     MOS N65523964E013183073E0060021092     WGEMOSJOEN                       ,S,Simulation application continuation,SEURD        MOS   EN2S    UN                                             E0069                                            
