record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,D,B,,,,BLC,LY,03770,H,N43144820,E021214380,,,,E0050,,,,,WGE,BLACE,SEURDB       BLC   LY103770H    N43144820E021214380                       E0050           WGEBLACE                         ,S,Simulation application continuation,SEURDB       BLC   LY2S     N21                                                                                            
S,EUR,D,B,,,,BRG,LF,03750,H MW,N47010430,E002165360,,,,E0010,,,,,WGE,BOURGES,SEURDB       BRG   LF103750H MW N47010430E002165360                       E0010           WGEBOURGES                       ,S,Simulation application continuation,SEURDB       BRG   LF2S     U24                                                                                            
S,EUR,D,B,,,,EJ,EK,04005,H LW,N55322851,E008415911,,,,E0030,,,,,WGE,ESBJERG,SEURDB       EJ    EK104005H LW N55322851E008415911                       E0030           WGEESBJERG                       ,S,Simulation application continuation,SEURDB       EJ    EK2S     U24                                                                                            
S,EUR,D,B,,,,FNY,EG,03380,H L,N53282936,W001000622,,,,E0000,,,,,WGE,DONCASTER SHEFFIELD,SEURDB       FNY   EG103380H L  N53282936W001000622                       E0000           WGEDONCASTER SHEFFIELD           ,S,Simulation application continuation,SEURDB       FNY   EG2S     N24                                                                                            
S,EUR,D,B,,,,GA,BI,03770,H M,N65524020,W017274780,,,,W0110,,,,,WGE,GARDUR (HUSAVIK),SEURDB       GA    BI103770H M  N65524020W017274780                       W0110           WGEGARDUR (HUSAVIK)              ,S,Simulation application continuation,SEURDB       GA    BI2S     N24                                                                                            
S,EUR,D,B,,,,HA,BI,03480,H L,N65374650,W015022920,,,,W0090,,,,,WGE,HOFSA,SEURDB       HA    BI103480H L  N65374650W015022920                       W0090           WGEHOFSA                         ,S,Simulation application continuation,SEURDB       HA    BI2S     N21                                                                                            
S,EUR,D,B,,,,HP,EK,03760,H MW,N55304117,E008244579,,,,E0030,,,,,WGE,ESBJERG,SEURDB       HP    EK103760H MW N55304117E008244579                       E0030           WGEESBJERG                       ,S,Simulation application continuation,SEURDB       HP    EK2S     U21                                                                                            
S,EUR,D,B,,,,KIT,EF,03280,H L,N67372306,E024535088,,,,E0120,,,,,WGE,KITTILA,SEURDB       KIT   EF103280H L  N67372306E024535088                       E0120           WGEKITTILA                       ,S,Simulation application continuation,SEURDB       KIT   EF2S     N24                                                00644                                       
S,EUR,D,B,,,,KN,LY,03800,H,N44534070,E020081010,,,,E0050,,,,,WGE,BELGRADE,SEURDB       KN    LY103800H    N44534070E020081010                       E0050           WGEBELGRADE                      ,S,Simulation application continuation,SEURDB       KN    LY2S     N24                                                                                            
S,EUR,D,B,,,,L,EF,03440,H L,N67431640,E024500132,,,,E0120,,,,,WGE,LIMA (KITTILA),SEURDB       L     EF103440H L  N67431640E024500132                       E0120           WGELIMA (KITTILA)                ,S,Simulation application continuation,SEURDB       L     EF2S     N24                                                00632                                       
S,EUR,D,B,,,,LI,ED,04170,H LW,N51204916,E006532862,,,,E0030,,,,,WGE,DUESSELDORF,SEURDB       LI    ED104170H LW N51204916E006532862                       E0030           WGEDUESSELDORF                   ,S,Simulation application continuation,SEURDB       LI    ED2S     U24                                                                                            
S,EUR,D,B,,,,LOE,LF,04240,H LW,N46014890,E001202190,,,,E0010,,,,,WGE,LIMOGES,SEURDB       LOE   LF104240H LW N46014890E001202190                       E0010           WGELIMOGES                       ,S,Simulation application continuation,SEURDB       LOE   LF2S     U24                                                                                            
S,EUR,D,B,,,,LYE,ED,03940,H MW,N53480299,E010414513,,,,E0030,,,,,WGE,LUEBECK,SEURDB       LYE   ED103940H MW N53480299E010414513                       E0030           WGELUEBECK                       ,S,Simulation application continuation,SEURDB       LYE   ED2S     U21                                                                                            
S,EUR,D,B,,,,TLB,LF,03680,H LW,N43564700,E001262900,,,,E0010,,,,,WGE,TOULOUSE,SEURDB       TLB   LF103680H LW N43564700E001262900                       E0010           WGETOULOUSE                      ,S,Simulation application continuation,SEURDB       TLB   LF2S     U21                                                00499                                       
S,EUR,D,B,,,,VRS,LD,03690,H  W,N45123666,E013385631,,,,E0040,,,,,WGE,VRSAR,SEURDB       VRS   LD103690H  W N45123666E013385631                       E0040           WGEVRSAR                         ,S,Simulation application continuation,SEURDB       VRS   LD2S     U21                                                                                            
S,EUR,D,B,,,,WCO,EG,03350,H M,N51511051,W000574467,,,,E0000,,,,,WGE,WESTCOTT,SEURDB       WCO   EG103350H M  N51511051W000574467                       E0000           WGEWESTCOTT                      ,S,Simulation application continuation,SEURDB       WCO   EG2S     N24                                                                                            
S,MES,D,,,,,KMC,OE,11590,VTHW,N27525010,E045332050,,N27525010,E045332050,E0040,01400,2,,583,WGE,KING SAUD AB (HAFR AL BATIN),SMESD        KMC   OE111590VTHW N27525010E045332050    N27525010E045332050E0040014002  583WGEKING SAUD AB (HAFR AL BATIN)  ,S,Simulation application continuation,SMESD        KMC   OE2S    UN                                             E0037                                            
S,MES,D,,,,,LOT,LL,11200,DU,,,LOT,N31473480,E035022940,,00668,3,,428,WGE,BET-MEIR,SMESD        LOT   LL111200 DU                     LOT N31473480E035022940     006683  428WGEBET-MEIR                      ,S,Simulation application continuation,SMESD        LOT   LL2S    UN                                             E0049                                            
S,MES,D,,OEKK,OE,,IKMC,OE,10870,IT N,,,IKMC,N27532840,E045322120,,01341,0,,361,WGE,KING SAUD AB,SMESD OEKKOE IKMC  OE110870 IT N                   IKMCN27532840E045322120     013410  361WGEKING SAUD AB                  ,S,Simulation application continuation,SMESD OEKKOE IKMC  OE2S    UN                                             E003701341                                       
S,MES,D,B,,,,AH,VA,02150,H MW,N23082900,E072415880,,,,W0000,,,,,WGE,AHMEDABAD,SMESDB       AH    VA102150H MW N23082900E072415880                       W0000           WGEAHMEDABAD                     ,S,Simulation application continuation,SMESDB       AH    VA2S     U24                                                                                            
S,MES,D,B,,,,BY,VI,02180,H  W,N28242700,E079271800,,,,E0000,,,,,WGE,BAREILLY,SMESDB       BY    VI102180H  W N28242700E079271800                       E0000           WGEBAREILLY                      ,S,Simulation application continuation,SMESDB       BY    VI2S     U24                                                                                            
S,MES,D,B,,,,CB,VG,03960,H  W,N21271030,E091575670,,,,W0010,,,,,WGE,COX'S BAZAR,SMESDB       CB    VG103960H  W N21271030E091575670                       W0010           WGECOX'S BAZAR                   ,S,Simulation application continuation,SMESDB       CB    VG2S     U21                                                                                            
S,MES,D,B,,,,CP,VO,02630,H  W,N14305630,E078461680,,,,W0020,,,,,WGE,KADAPA,SMESDB       CP    VO102630H  W N14305630E078461680                       W0020           WGEKADAPA                        ,S,Simulation application continuation,SMESDB       CP    VO2S     U21                                                                                            
S,MES,D,B,,,,GEY,LT,04130,H MW,N36521910,E030271940,,,,E0040,,,,,WGE,GEYIKBAYIRI (ANTALYA),SMESDB       GEY   LT104130H MW N36521910E030271940                       E0040           WGEGEYIKBAYIRI (ANTALYA)         ,S,Simulation application continuation,SMESDB       GEY   LT2S     U24                                                                                            
S,MES,D,B,,,,IS,VG,03500,H  W,N24091030,E089024140,,,,W0000,,,,,WGE,ISHURDI,SMESDB       IS    VG103500H  W N24091030E089024140                       W0000           WGEISHURDI                       ,S,Simulation application continuation,SMESDB       IS    VG2S     U21                                                                                            
