record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,UZTT,UT,,IFD,UT,10850,ITDN,,,IFD,N41153260,E069174590,,01400,0,02,542,WGE,ISLAM KARIMOV,SEEUD UZTTUT IFD   UT110850 ITDN                   IFD N41153260E069174590     01400002542WGEISLAM KARIMOV                 ,S,Simulation application continuation,SEEUD UZTTUT IFD   UT2S    UN                                             E005601400                                       
S,EEU,D,,UZTT,UT,,ING,UT,11050,ITDN,,,ING,N41151980,E069155090,,01400,0,02,141,WGE,ISLAM KARIMOV,SEEUD UZTTUT ING   UT111050 ITDN                   ING N41151980E069155090     01400002141WGEISLAM KARIMOV                 ,S,Simulation application continuation,SEEUD UZTTUT ING   UT2S    UN                                             E005601400                                       
S,EEU,D,,UZTT,UT,,IZW,UT,11170,ITDN,,,IZW,N41151320,E069155080,,01400,0,02,067,WGE,ISLAM KARIMOV,SEEUD UZTTUT IZW   UT111170 ITDN                   IZW N41151320E069155080     01400002067WGEISLAM KARIMOV                 ,S,Simulation application continuation,SEEUD UZTTUT IZW   UT2S    UN                                             E005601400                                       
S,EEU,D,,ZBER,ZB,,IER,ZB,10850,IT N,,,IER,N43251241,E112060539,,03310,0,,285,WGE,SAIWUSU,SEEUD ZBERZB IER   ZB110850 IT N                   IER N43251241E112060539     033100  285WGESAIWUSU                       ,S,Simulation application continuation,SEEUD ZBERZB IER   ZB2S    UN                                             W006903310                                       
S,EEU,D,,ZGZJ,ZG,,IWC,ZG,10955,IT N,,,IWC,N21293930,E110351880,,00089,0,,001,WGE,WUCHUAN,SEEUD ZGZJZG IWC   ZG110955 IT N                   IWC N21293930E110351880     000890  001WGEWUCHUAN                       ,S,Simulation application continuation,SEEUD ZGZJZG IWC   ZG2S    UN                                             W002500089                                       
S,EEU,D,,ZGZJ,ZG,,IZU,ZG,10955,IT N,,,IZU,N21282680,E110360380,,00082,0,,001,WGE,WUCHUAN,SEEUD ZGZJZG IZU   ZG110955 IT N                   IZU N21282680E110360380     000820  001WGEWUCHUAN                       ,S,Simulation application continuation,SEEUD ZGZJZG IZU   ZG2S    UN                                             W002500082                                       
S,EEU,D,,ZHES,ZH,,IGG,ZH,11030,IT N,,,IGG,N30185040,E109290700,,01637,0,,233,WGE,XUJIAPING,SEEUD ZHESZH IGG   ZH111030 IT N                   IGG N30185040E109290700     016370  233WGEXUJIAPING                     ,S,Simulation application continuation,SEEUD ZHESZH IGG   ZH2S    UN                                             W003701637                                       
S,EEU,D,,ZWWW,ZW,,IMU,ZW,10930,IT N,,,IMU,N43554313,E087292292,,02106,0,,396,WGE,TIANSHAN,SEEUD ZWWWZW IMU   ZW110930 IT N                   IMU N43554313E087292292     021060  396WGETIANSHAN                      ,S,Simulation application continuation,SEEUD ZWWWZW IMU   ZW2S    UN                                             E002602106                                       
S,EEU,D,,ZWWW,ZW,,IQD,ZW,10955,IT N,,,IQD,N43553185,E087272892,,02103,0,,,WGE,TIANSHAN,SEEUD ZWWWZW IQD   ZW110955 IT N                   IQD N43553185E087272892     021030     WGETIANSHAN                      ,S,Simulation application continuation,SEEUD ZWWWZW IQD   ZW2S    UN                                             E002602103                                       
S,EEU,D,,ZWWW,ZW,,IUR,ZW,11110,IT N,,,IUR,N43555503,E087291819,,02103,0,,576,WGE,TIANSHAN,SEEUD ZWWWZW IUR   ZW111110 IT N                   IUR N43555503E087291819     021030  576WGETIANSHAN                      ,S,Simulation application continuation,SEEUD ZWWWZW IUR   ZW2S    UN                                             E002602103                                       
