record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,AW,UW,10960,DH,,,AW,N53583000,E054463100,,01000,2,,,WGE,SHAFRANOVO,SEEUD        AW    UW110960 DH                     AW  N53583000E054463100     010002     WGESHAFRANOVO                    ,S,Simulation application continuation,SEEUD        AW    UW2S    UN                                             E0133                                            
S,EEU,D,,,,,BA,UN,11370,DH,,,BA,N57002700,E082033800,,00492,2,,553,WGE,BAKCHAR,SEEUD        BA    UN111370 DH                     BA  N57002700E082033800     004922  553WGEBAKCHAR                       ,S,Simulation application continuation,SEEUD        BA    UN2S    UN                                             E0098                                            
S,EEU,D,,,,,BAC,LR,11740,DH,,,BAC,N46300540,E026550520,,00700,2,,302,WGE,BACAU,SEEUD        BAC   LR111740 DH                     BAC N46300540E026550520     007002  302WGEBACAU                         ,S,Simulation application continuation,SEEUD        BAC   LR2S    UN                                             E0068                                            
S,EEU,D,,,,,BAH,UK,11670,DH,,,BAH,N51035400,E032531200,,00520,2,,347,WGE,BAKHMACH,SEEUD        BAH   UK111670 DH                     BAH N51035400E032531200     005202  347WGEBAKHMACH                      ,S,Simulation application continuation,SEEUD        BAH   UK2S    UU                                             E0091                                            
S,EEU,D,,,,,BAI,LR,11795,DH,,,BAI,N46292800,E023141200,,06000,2,,403,WGE,BAISOARA,SEEUD        BAI   LR111795 DH                     BAI N46292800E023141200     060002  403WGEBAISOARA                      ,S,Simulation application continuation,SEEUD        BAI   LR2S    UU                                             E0062                                            
S,EEU,D,,,,,BAK,UB,11500,VDHW,N40251480,E050035030,,N40251480,E050035030,E0060,00100,2,,369,WGE,BAKU,SEEUD        BAK   UB111500VDHW N40251480E050035030    N40251480E050035030E0060001002  369WGEBAKU                          ,S,Simulation application continuation,SEEUD        BAK   UB2S    UN                                             E006500100                                       
S,EEU,D,,,,,BAN,UN,11180,VDHW,N53222280,E083344370,,N53222280,E083344370,E0070,00787,2,,,WGE,BARNAUL,SEEUD        BAN   UN111180VDHW N53222280E083344370    N53222280E083344370E0070007872     WGEBARNAUL                       ,S,Simulation application continuation,SEEUD        BAN   UN2S    UN                                             E007100787                                       
S,EEU,D,,,,,BAR,ZM,11670,DL,,,BAR,N46401200,E113170900,,03346,1,,523,WGE,BARUUN-URT,SEEUD        BAR   ZM111670 DL                     BAR N46401200E113170900     033461  523WGEBARUUN-URT                    ,S,Simulation application continuation,SEEUD        BAR   ZM2S    UN                                             W0081                                            
S,EEU,D,,,,,BAV,ZB,11730,VDHW,N40332400,E109595400,,N40332400,E109595400,W0050,03343,2,,,WGE,BAOTOU,SEEUD        BAV   ZB111730VDHW N40332400E109595400    N40332400E109595400W0050033432     WGEBAOTOU                        ,S,Simulation application continuation,SEEUD        BAV   ZB2S    UN                                             W005603343                                       
S,EEU,D,,,,,BC,UU,11150,DH,,,BC,N57534200,E036554800,,00689,2,,138,WGE,BEZHETSK,SEEUD        BC    UU111150 DH                     BC  N57534200E036554800     006892  138WGEBEZHETSK                      ,S,Simulation application continuation,SEEUD        BC    UU2S    UN                                             E0129                                            
S,EEU,D,,,,,BCU,LR,10940,VDU,N46303930,E026493200,,N46303930,E026493200,E0070,01800,3,,418,WGE,BACAU,SEEUD        BCU   LR110940VDU  N46303930E026493200    N46303930E026493200E0070018003  418WGEBACAU                         ,S,Simulation application continuation,SEEUD        BCU   LR2S    UN                                             E0068                                            
S,EEU,D,,,,,BDB,UI,11260,VDHW,N57522600,E114135600,,N57522600,E114135600,W0100,02067,2,,,WGE,BODAYBO,SEEUD        BDB   UI111260VDHW N57522600E114135600    N57522600E114135600W0100020672     WGEBODAYBO                       ,S,Simulation application continuation,SEEUD        BDB   UI2S    UY                                             W0111                                            
S,EEU,D,,,,,BG,UE,11000,DH,,,BG,N68331300,E146133800,,00098,2,,521,WGE,BELAYA GORA,SEEUD        BG    UE111000 DH                     BG  N68331300E146133800     000982  521WGEBELAYA GORA                   ,S,Simulation application continuation,SEEUD        BG    UE2S    UN                                             W0158                                            
S,EEU,D,,,,,BG,UH,11460,DL,,,BG,N52224440,E140264450,,00200,1,,429,WGE,BOGORODSKOYE,SEEUD        BG    UH111460 DL                     BG  N52224440E140264450     002001  429WGEBOGORODSKOYE                  ,S,Simulation application continuation,SEEUD        BG    UH2S    UN                                             W0127                                            
S,EEU,D,,,,,BGS,LB,11200,VDHW,N42351380,E027321670,,N42351380,E027321670,E0060,00200,2,,304,WGE,BURGAS,SEEUD        BGS   LB111200VDHW N42351380E027321670    N42351380E027321670E0060002002  304WGEBURGAS                        ,S,Simulation application continuation,SEEUD        BGS   LB2S    UN                                             E006100200                                       
S,EEU,D,,,,,BGS,UW,11160,VDHW,N55334590,E052050350,,N55334590,E052050350,E0140,00700,2,,450,WGE,BEGISHEVO,SEEUD        BGS   UW111160VDHW N55334590E052050350    N55334590E052050350E0140007002  450WGEBEGISHEVO                     ,S,Simulation application continuation,SEEUD        BGS   UW2S    UN                                             E014200700                                       
